video_id,thumbnail_link,region,r,g,b,entropy,thumb_ocr_text,clean_thumb_ocr_text,thumb_ocr_text_V2,clean_thumb_ocr_text_V2
uCnPZHrrSDU,https://i.ytimg.com/vi/uCnPZHrrSDU/default.jpg,GB,80.44881944444444,73.61103009259259,65.66993634259259,6.634101920515771," 
",,hollywood the beatdown,
bi9NkBZ1qe4,https://i.ytimg.com/vi/bi9NkBZ1qe4/default.jpg,GB,95.68674189814814,87.096875,90.5344212962963,6.866357267855795," 
",,farcry5 holland valley gameplay,valley
UhSJp34wOeo,https://i.ytimg.com/vi/UhSJp34wOeo/default.jpg,GB,37.49357638888889,21.83080439814815,20.78648148148148,4.719881534196493," 
",,star hi e l a sir wars j ed i review,star sir war review
kwraJAssyuE,https://i.ytimg.com/vi/kwraJAssyuE/default.jpg,GB,43.8783738425926,127.19704282407407,132.09168402777777,5.870337151003139,,,the national 12 sleep beast ell ntl,national sleep beast ell
EwIe8nLwZMY,https://i.ytimg.com/vi/EwIe8nLwZMY/default.jpg,GB,77.48412037037038,45.26340856481482,42.422841435185184,6.5056325147033895,"A mf A
we b , ‘ 4 ove

 
",,thr news,news
i0biqMZrxJ0,https://i.ytimg.com/vi/i0biqMZrxJ0/default.jpg,GB,21.15136574074074,14.60431712962963,13.189994212962963,4.065534792379167,"ea a
Al ser

 
",ser,star d wars,star war
QODABIgXtCM,https://i.ytimg.com/vi/QODABIgXtCM/default.jpg,GB,98.71307291666666,81.21659143518518,79.14336226851852,6.696479857193628," 
",,reveali baby name arcy louise peniland,baby name
QerVvvNem1w,https://i.ytimg.com/vi/QerVvvNem1w/default.jpg,GB,51.54960069444444,49.31368055555556,41.25386574074074,5.398256731605308," 
",,,
ibI5-k5sin8,https://i.ytimg.com/vi/ibI5-k5sin8/default.jpg,GB,147.02524305555556,145.34934606481482,144.1205439814815,4.384749462262018," 
",,snl,
hj44lITeFHk,https://i.ytimg.com/vi/hj44lITeFHk/default.jpg,GB,111.59650462962964,96.25831597222222,80.11962384259259,6.828240005171736," 
",,talk tipsy with ridley alsy,talk tipsy
J4DKqWlk8DE,https://i.ytimg.com/vi/J4DKqWlk8DE/default.jpg,GB,137.79464699074074,97.53210069444444,108.93134837962964,6.859901318581738," 
",,emptiesi,
21jcP-1w4DA,https://i.ytimg.com/vi/21jcP-1w4DA/default.jpg,GB,76.17570601851853,71.44779513888889,61.76953703703704,6.737674988384766," 
",,what gotfor my bday hid tony,tony
0VsgQmCPgoI,https://i.ytimg.com/vi/0VsgQmCPgoI/default.jpg,GB,,,,,,,,
p9RLCdyn_40,https://i.ytimg.com/vi/p9RLCdyn_40/default.jpg,GB,104.92439236111112,89.8284837962963,84.78125578703704,6.790976414796375," 
",,day 15,day
B-t4bU3-lHA,https://i.ytimg.com/vi/B-t4bU3-lHA/default.jpg,GB,73.49195023148148,55.07769675925926,61.20483796296296,6.50089974737668," 
",,inc en si ir iw star wars use yearsance decove now any andolby onema,star war use
ifkRhaEDzzo,https://i.ytimg.com/vi/ifkRhaEDzzo/default.jpg,GB,107.26554398148149,87.05355324074074,61.14463541666667,6.83445551868055," 
",,,
Ddt0k3yU9Q8,https://i.ytimg.com/vi/Ddt0k3yU9Q8/default.jpg,GB,48.66252893518519,52.93565972222222,37.254328703703706,6.216864997120348,"70 QUESTIONS BOUT.
aT OU

~

 
",question bout,questions about 70 last the jedi boon,question last boon
hdyD3afxyxc,https://i.ytimg.com/vi/hdyD3afxyxc/default.jpg,GB,84.6184375,94.13251157407409,114.776875,6.799148443203984," 
",,for honor frost wind festival,honor frost wind festival
HL1LiSiBPMo,https://i.ytimg.com/vi/HL1LiSiBPMo/default.jpg,GB,28.405341435185186,43.71796875,108.32297453703704,5.781282339984645," 
",,1,
hW9ScsV6QJ0,https://i.ytimg.com/vi/hW9ScsV6QJ0/default.jpg,GB,2.1158449074074075,18.80478587962963,26.893096064814817,1.990021362011274,"Tame
",tame,flume greenteace,flume
dqkEniTFTH0,https://i.ytimg.com/vi/dqkEniTFTH0/default.jpg,GB,60.662395833333335,60.662395833333335,60.662395833333335,6.619609834332852," 
",,,
u_OO9taOvG8,https://i.ytimg.com/vi/u_OO9taOvG8/default.jpg,GB,11.122621527777778,6.599513888888889,7.236649305555556,1.9789578312695897,"ORIGINAL MOTION PICTURE SOUNDTRACK

ra SyIP ANC

E—E LAS.T in i)

VV AIS)

1 YT TRR ENTS

 
",original motion picture last,original motion picture soundtrack star the la slt ed j i wars music by vevo john williams,original motion picture star war music
OQ8v_KUS0Qg,https://i.ytimg.com/vi/OQ8v_KUS0Qg/default.jpg,GB,,,,,,,,
B1tEq5RU-Wo,https://i.ytimg.com/vi/B1tEq5RU-Wo/default.jpg,GB,67.21337962962963,63.94912037037037,57.83387731481481,6.573929187146121,"     

‘THE ONLY PROBLEM IS IT Mi
Se a eT fered cele a

Le z _
",the problem,the only problem is it might intoofast suckyou toofar,problem might
YJ1aeCE6pd4,https://i.ytimg.com/vi/YJ1aeCE6pd4/default.jpg,GB,104.07820601851851,109.07663773148148,102.91822916666666,6.880074283745204," 
",,,
k6fEpn_lzmw,https://i.ytimg.com/vi/k6fEpn_lzmw/default.jpg,GB,33.97303240740741,22.802685185185187,20.826203703703705,4.400019463560181,"LAST _-

re ""4 hh rs,
me ere oes
",last ere oes,star he fast e d wars,star fast war
MFWF9dU5Zc0,https://i.ytimg.com/vi/MFWF9dU5Zc0/default.jpg,GB,64.21774305555556,64.02276620370371,53.622008101851854,6.48092618998917," 

‘ i : c Fo
a Tae

 
",tae,oceans 8 trailer official 1st,ocean trailer official
l_lblj8Cq0o,https://i.ytimg.com/vi/l_lblj8Cq0o/default.jpg,GB,99.86499421296296,76.54619791666667,53.53185763888889,6.74492189758777," 
",,vevo,
X8sSXU-J8fI,https://i.ytimg.com/vi/X8sSXU-J8fI/default.jpg,GB,74.48456018518519,49.13199074074074,76.8120775462963,6.736128000933375," 
",,,
L9hwGZFPSmw,https://i.ytimg.com/vi/L9hwGZFPSmw/default.jpg,GB,67.90483796296296,52.09167824074074,52.14548032407407,5.420611465592021," 

Sa
",,half inthe bag episode 137 star wars last the last jedi review,half bag episode star war last last review
KdBGLKvISJQ,https://i.ytimg.com/vi/KdBGLKvISJQ/default.jpg,GB,,,,,,,,
C4ZN-2MrgBA,https://i.ytimg.com/vi/C4ZN-2MrgBA/default.jpg,GB,55.58219907407408,46.84471064814815,71.25282986111111,6.553740283367748," 
",,,
fupYIggOq38,https://i.ytimg.com/vi/fupYIggOq38/default.jpg,GB,11.345190972222222,5.424415509259259,5.286527777777778,2.691293502687458,"mac aaa
Cuts:

OFFICIAL TRAILER
",mac cut official trailer,mortail engines official trailer,engine official trailer
KMTJrFPie6w,https://i.ytimg.com/vi/KMTJrFPie6w/default.jpg,GB,,,,,,,,
NBkC83-vh9A,https://i.ytimg.com/vi/NBkC83-vh9A/default.jpg,GB,,,,,,,,
y-CvcTfcllk,https://i.ytimg.com/vi/y-CvcTfcllk/default.jpg,GB,43.93753472222223,29.089936342592598,42.77939814814815,5.232069637906023," 
",,vevo,
MJGkm0UwNRk,https://i.ytimg.com/vi/MJGkm0UwNRk/default.jpg,GB,40.101961805555554,36.20844907407408,32.25107638888889,5.94285441457582," 
",,netflix teaser,teaser
4pq_VGpPooM,https://i.ytimg.com/vi/4pq_VGpPooM/default.jpg,GB,85.42653935185186,74.20824652777777,56.75658564814815,6.371875219796841," 
",,,
