video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description 
QZRwD-KqGaw,,Kimbra - Primal Heart (Official Tour Trailer),kimbramusic,,2018-02-12T17:58:24Z,,,,,,,,,,Connect with Kimbra: http://KimbraMusic.com http://facebook.com/KimbraMusic http://twitter.com/KimbraMusic.
U98rZw78-iA,,Kimbra - Human (Official Music Video),kimbramusic,,2018-01-19T04:48:07Z,,,,,,,,,,Special thanks to NZ On Air! Video Credits: Director Gregor Nicholas EP James Moore Production Co Fish&Clips Producer Lissandra Leite DP John Toon Editor ...
5WWPakahmHo,,Kimbra - Version of Me (Official Behind The Scenes),kimbramusic,,2018-03-11T16:33:45Z,,,,,,,,,,Official Lyrics: next time I'll be kinder with you there's just this habit that I have I throw my words around like fire they catch on your good heart and your peace of ...
up0i0_mIWW4,,Kimbra - Primal Heart Interactive Site Demo,kimbramusic,,2017-12-13T16:44:26Z,,,,,,,,,,Visit Primal Heart Interactive Site: http://KimbraMusic.com Connect with Kimbra: http://KimbraMusic.com http://facebook.com/KimbraMusic ...
JbWauFAMtzg,,Exposing Our Instagram Explore Pages!,AmazingPhil,,2018-03-07T21:56:46Z,,,,,,,,,,Music: kevin macleod: incompetech.com.
o8lSb-UOA3M,,Dan and Phil Video Bloopers 2017!,AmazingPhil,,2018-01-10T19:30:44Z,,,,,,,,,,Music: kevin macleod: incompetech.com.
6tVdiKBcQWY,,Easter Baking - BUNNY BISCUITS!,AmazingPhil,,2018-03-31T20:34:28Z,,,,,,,,,,Music - Kevin Macleod Incompetech.com.
gwrfwx1QcDQ,,Phil is not on fire 9,AmazingPhil,,2017-11-24T21:06:50Z,,,,,,,,,,"The whiskers are back and we're feeling fine, let's see what happens in Phil is not on fire 9! New merch! 10% off with code BLACKFRIDAY (until Monday night) ..."
MYmQlBpF5e0,,UK vs JAPAN School Lunches! with Dan and Phil,AmazingPhil,,2017-12-11T19:41:44Z,,,,,,,,,,Music: kevin macleod: incompetech.com.
0i-NIcn3oVE,,Reacting to my DELETED VIDEOS!,AmazingPhil,,2018-06-01T22:48:17Z,,,,,,,,,,I trawl through some of my old private videos and look at some questionable choices in both content and hair I have made in my 10 years on YouTube! SEE US ...
4VNVdRLC6sI,,Why I Changed My Emo Hair,AmazingPhil,,2018-05-15T17:47:00Z,,,,,,,,,,Music: Kevin Macleod Incompetech.com.
akNs04ef_Co,,I Read A Letter From My Younger Self,AmazingPhil,,2018-01-25T20:46:40Z,,,,,,,,,,Music: kevin macleod: incompetech.com.
NtmHQC2K8lc,,Drawing My Viewers Challenge!,AmazingPhil,,2018-02-12T22:09:35Z,,,,,,,,,,Music: kevin macleod: incompetech.com.
iQOCFA9HI2g,,A Week in the Life of Dan and Phil!,AmazingPhil,,2018-04-22T20:57:44Z,,,,,,,,,,Music: Kevin Macleod Incompetech.com.
48-pr5-G6Pw,,HAIM - Night So Long (Live At The Greek),HaimVEVO,,2018-01-26T19:30:01Z,,,,,,,,,,"Director: Paul Thomas Anderson Recording Produced, Engineered and Mixed by Ariel Rechtshaid Production Supervisor: Karen Ramirez Editor: Andy ..."
mouW8XZ36L0,,HAIM - Walking Away (Mura Masa Remix),HaimVEVO,,2017-12-08T10:00:05Z,,,,,,,,,,HAIM - Walking Away (Mura Masa Remix) Follow HAIM: http://facebook.com/haimtheband http://twitter.com/haimtheband http://instagram.com/haimtheband ...
E_mU-Z-bKbw,,Evanescence - Missing (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:04Z,,,,,,,,,,"Music video by Evanescence performing Missing. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc. http://vevo.ly/aVg8yN."
sGXvBJN2LZw,,Evanescence - Breathe No More (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:12Z,,,,,,,,,,"Music video by Evanescence performing Breathe No More. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc."
5yUNctxBPRo,,Evanescence - The Last Song I&#39;m Wasting On You (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:00Z,,,,,,,,,,"Music video by Evanescence performing The Last Song I'm Wasting On You. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc."
ife5Zij94_E,,Evanescence - Together Again (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:07Z,,,,,,,,,,"Music video by Evanescence performing Together Again. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc."
UVTYDrCLD1U,,Evanescence - Disappear (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:02Z,,,,,,,,,,"Music video by Evanescence performing Disappear. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc. http://vevo.ly/DIkTf5."
es_rHRSHmDU,,Evanescence - A New Way To Bleed (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:02Z,,,,,,,,,,"Music video by Evanescence performing A New Way To Bleed. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc."
iQOcg_2-nX8,,Evanescence - Farther Away (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:06Z,,,,,,,,,,"Music video by Evanescence performing Farther Away. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc."
3AZ1sgLPdvA,,Evanescence - Secret Door (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:00Z,,,,,,,,,,"Music video by Evanescence performing Secret Door. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc. http://vevo.ly/S7ztCt."
76oQMBNGgt0,,Evanescence - Say You Will (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:00Z,,,,,,,,,,"Music video by Evanescence performing Say You Will. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc."
1vN2xkqrmJc,,Evanescence - If You Don’t Mind (Official Audio),EvanescenceVEVO,,2018-05-04T04:00:00Z,,,,,,,,,,"Music video by Evanescence performing If You Don't Mind. © 2016 The Bicycle Music Company, Inc., Distributed by Concord Music Group, Inc."
GCTyFp0PpHE,,"Marbles, Magnets, and Music (Synchronized)",DoodleChaos,,2018-01-09T17:32:39Z,,,,,,,,,,"I've taken the piece ""Waltz of the Flowers"" by Tchaikovsky, and synchronized it to a chain reaction marble run by hand. After listening to parts of this song ..."
W8oIeL_OPc8,,Line Rider - Fade,DoodleChaos,,2018-02-06T17:33:33Z,,,,,,,,,,"I've synchronized the song ""Fade"" by Alan Walker to the physics of a Line Rider track drawing everything by hand. It only took about 3 months of work!"
jWpl58iJ1oo,,Dude Perfect on a Budget | 2-D Trick Shots,DoodleChaos,,2018-05-20T17:38:28Z,,,,,,,,,,Orange ball launched into a mini basketball hoop using little contraptions. The shot at 1:12 took more time than I'd like to admit. If you would like to support me ...
V8Q3vvPLGgA,,Line Rider - Monody (Lyric Video),DoodleChaos,,2018-05-15T17:59:40Z,,,,,,,,,,I've synchronized the song Monody by TheFatRat to a line rider track. It took about 2 months of my free time to draw everything by hand and match things up.
ZZmzAuvYCJw,,Luigi&#39;s Balloon World,videogamedunkey,,2018-03-15T19:30:00Z,,,,,,,,,,"In Reggie's new game Luigi World, find a balloon you dumb guy. end song by https://www.youtube.com/watch?v=fN5VqqQ9WaI."
4umiOnu3wuk,,God of War (dunkview),videogamedunkey,,2018-04-26T19:30:00Z,,,,,,,,,,The latest entry into the roll and hit genre. with Skill Up https://www.youtube.com/channel/UCZ7AeeVbyslLM_8-nVy2B8Q.
qHLizp8fARo,,Celeste (dunkview),videogamedunkey,,2018-01-25T20:30:01Z,,,,,,,,,,The best mountain climbing game of 2018.
pMPomCWUraQ,,Metal Gear Dies,videogamedunkey,,2018-02-24T20:30:00Z,,,,,,,,,,Tactical Stick Action.
acWuVPeTwa0,,Forknite : Infinity War,videogamedunkey,,2018-05-13T19:30:00Z,,,,,,,,,,This is my last overwatch video.
IY5mBERhSDg,,Car Fry 5,videogamedunkey,,2018-04-09T19:30:02Z,,,,,,,,,,In the new game Far Guy 5 you have to find a bear.
sxvC647Yi0A,,Spiderman 3 - Making a Masterpiece,videogamedunkey,,2018-04-01T19:30:01Z,,,,,,,,,,Spiderman 3 is probably the best movie that i've seen so far.
DTBu4tigSDo,,Star Wars Battlefront II  (dunkview),videogamedunkey,,2017-11-28T20:30:01Z,,,,,,,,,,Can't even play as a ewok or a jar jar or that star wars penguin I keep seeing at target.
fiVZMxf4E2Q,,Xenoblade 2 : JRPG Chronicles,videogamedunkey,,2017-12-14T20:30:01Z,,,,,,,,,,Hello? Is this video on?
5LWnvV0Umvo,,Mario Odyssey Tips and Tricks,videogamedunkey,,2017-12-07T20:30:00Z,,,,,,,,,,Mario has to get the moon. end screen song https://www.youtube.com/watch?v=z6Rzuck6orQ&t=83s.
J8jr-p0lQZo,,Weezer - Rosanna,weezer,,2018-05-24T12:02:39Z,,,,,,,,,,Stream + download the song: http://fanlink.to/rosanna Upcoming tour dates - https://weezer.com/tour FOLLOW WEEZER Site: https://weezer.com/ Facebook: ...
-LgzefV_iow,,Weezer - Happy Hour (Acoustic),weezer,,2018-02-09T05:00:59Z,,,,,,,,,,LYRICS I'm like Stevie Ray Vaughn on the stage High on music Teeth grinding Sweating under the lights But then my boss comes and she's crushin' me with a ...
ZpMBQoYqxaU,,Weezer - Happy Hour (Eden Prince Remix) [Official Audio],weezer,,2018-01-26T12:14:54Z,,,,,,,,,,Happy Hour (Eden Prince Remix) out now! Stream + download: https://Weezer.lnk.to/happyhourtheremixes Pacific Daydream available now: ...
ZyTsC9INCyE,,Weezer - Happy Hour (Lefti Remix) [Official Audio],weezer,,2017-12-22T08:50:22Z,,,,,,,,,,"Making your sad days better with LEFTI's remix of Happy Hour, out everywhere now: https://fanlink.to/happyhourleftiremix Pacific Daydream available now: ..."
9siMwG4eTYA,,Weezer - Happy Hour (Odyssey Remix) [Official Audio],weezer,,2018-01-12T05:02:00Z,,,,,,,,,,Happy Hour (Odyssey Remix) out now! Stream + download: https://Weezer.lnk.to/happyhourtheremixes Pacific Daydream available now: ...
4o4h1xqw0bc,,Weezer - Happy Hour (THANKS Remix) [Official Audio],weezer,,2018-01-26T12:14:54Z,,,,,,,,,,Happy Hour (Thanks Remix) out now! Stream + download: https://Weezer.lnk.to/happyhourtheremixes Pacific Daydream available now: ...
36DAv_m8Mlw,,MNEK - Colour (Lyric Video) ft. Hailee Steinfeld,MNEKVEVO,,2018-06-01T13:48:48Z,,,,,,,,,,"MNEK's debut album, LANGUAGE, is out now: https://mnek.lnk.to/LanguageAlbum Get tickets to see MNEK live: https://bit.ly/2ODlu3i Follow MNEK Facebook ..."
cI0FWWU1_3I,,MNEK - Tongue (Lyric Video),MNEKVEVO,,2018-03-01T08:49:00Z,,,,,,,,,,Follow MNEK: Stream/Play MNEK Here: https://MNEK.lnk.to/Play Facebook: https://www.facebook.com/MNEKOfficial Instagam: https://www.instagram.com/mnek ...
