,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description ,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
0,hWQiXv0sn9Y,,Rehab: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-05-21T06:30:00Z,,10477496,117902,3333,8173,https://i.ytimg.com/vi/hWQiXv0sn9Y/hqdefault.jpg,,,,The addiction treatment industry is dangerously unregulated. John Oliver explains why many rehab programs should incorporate more evidence-based care ...,,,,,,,,,,,,,,,,,,,,,,,,
0,nG2pEffLEJo,,Guardianship: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-06-04T06:30:00Z,,5988535,95085,2082,5441,https://i.ytimg.com/vi/nG2pEffLEJo/hqdefault.jpg,,,,It's alarmingly easy for a total stranger to gain total control over the life of a senior citizen. We enlisted a group of celebrities to offer a warning about predatory ...,,,,,,,,,,,,,,,,,,,,,,,,
0,mOVPStnVgvU,,Stupid Watergate II: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-06-11T06:30:00Z,,7663447,102449,4376,7991,https://i.ytimg.com/vi/mOVPStnVgvU/hqdefault.jpg,,,,John Oliver explains how the president and his allies are going full O. J. in order to undermine the investigation of Russian interference in the 2016 election.,,,,,,,,,,,,,,,,,,,,,,,,
0,g6iDZspbRMg,,Cryptocurrencies: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-03-12T06:30:00Z,,15383546,176357,8094,20955,https://i.ytimg.com/vi/g6iDZspbRMg/hqdefault.jpg,,,,Digital currencies are generating a lot of excitement. John Oliver enlists Keegan-Michael Key to get potential investors equally excited about the concept of ...,,,,,,,,,,,,,,,,,,,,,,,,
0,RKjk0ECXjiQ,,Corporate Taxes: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-04-16T06:30:00Z,,7574248,94545,3430,6976,https://i.ytimg.com/vi/RKjk0ECXjiQ/hqdefault.jpg,,,,"Many of America's largest corporations shift a surprising portion of their profits overseas to avoid paying taxes. Even more surprisingly, that's a legal thing to do.",,,,,,,,,,,,,,,,,,,,,,,,
0,LEcbagW4O-s,,NRA TV: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-03-05T07:30:01Z,,12091810,184866,14541,22695,https://i.ytimg.com/vi/LEcbagW4O-s/hqdefault.jpg,,,,"The NRA's streaming lifestyle network aims to boost gun sales, often by using an ominous tone that would make just about anything sound terrifying...including ...",,,,,,,,,,,,,,,,,,,,,,,,
0,rs2RlZQVXBU,,Mike Pence: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-03-19T06:30:00Z,,19223127,235478,16923,21837,https://i.ytimg.com/vi/rs2RlZQVXBU/hqdefault.jpg,,,,Mike Pence is much more unlikable than his pet rabbit who stars in a new children's book created by the Pence family and in a better children's book created by ...,,,,,,,,,,,,,,,,,,,,,,,,
0,5xnZ_CeTqyM,,Iran Deal: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-04-23T06:30:02Z,,9695005,113043,6863,10580,https://i.ytimg.com/vi/5xnZ_CeTqyM/hqdefault.jpg,,,,Donald Trump could soon dismantle the agreement designed to curb the Iranian nuclear program. Our catheter cowboy will do his best to keep that from ...,,,,,,,,,,,,,,,,,,,,,,,,
0,9fB0GBwJ2QA,,Immigration Courts: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,2018-04-02T06:30:00Z,,5920263,106250,4121,10709,https://i.ytimg.com/vi/9fB0GBwJ2QA/hqdefault.jpg,,,,America's dysfunctional immigration court system forces many children to appear in court alone. That's as ridiculous in real life as it would be on a courtroom ...,,,,,,,,,,,,,,,,,,,,,,,,
0,YbHdBoHMxK4,,Parson James - Only You (Lyric Video),ParsonJamesVEVO,,2017-11-17T08:00:02Z,,9760365,132833,1585,916,https://i.ytimg.com/vi/YbHdBoHMxK4/hqdefault.jpg,,,,Only You” by Parson James Available Now! iTunes - http://smarturl.it/PJOnlyYou/itunes?iQid=yt Apple Music - http://smarturl.it/PJOnlyYou/applemusic?iQid=yt ...,,,,,,,,,,,,,,,,,,,,,,,,
0,2Xyf_PCf7lc,,Parson James - Only You (Official Video),ParsonJamesVEVO,,2018-02-07T14:30:00Z,,797098,14675,431,142,https://i.ytimg.com/vi/2Xyf_PCf7lc/hqdefault.jpg,,,,"""Only You"" by Parson James Available Now! iTunes - http://smarturl.it/PJOnlyYou/itunes?iQid=yt Apple Music - http://smarturl.it/PJOnlyYou/applemusic?iQid=yt ...",,,,,,,,,,,,,,,,,,,,,,,,
0,gBYn615qxEQ,,Parson James - Only You (Midnight Kids Remix (Audio)),ParsonJamesVEVO,,2018-02-09T08:00:05Z,,43841,872,12,19,https://i.ytimg.com/vi/gBYn615qxEQ/hqdefault.jpg,,,,"The Midnight Kids and Frank Pole Remixes of ""Only You"" available now! Only You (Midnight Kids Remix) iTunes: http://smarturl.it/PJOYMKR/itunes?iQid=yt ...",,,,,,,,,,,,,,,,,,,,,,,,
0,Q0vuY1YJnvM,,Parson James - Only You (Frank Pole Remix (Audio)),ParsonJamesVEVO,,2018-02-09T08:00:03Z,,34725,664,8,15,https://i.ytimg.com/vi/Q0vuY1YJnvM/hqdefault.jpg,,,,"The Frank Pole and Midnight Kids Remixes of ""Only You"" available now! Only You (Frank Pole Remix) iTunes: http://smarturl.it/PJOYFPR/itunes?iQid=yt Apple ...",,,,,,,,,,,,,,,,,,,,,,,,
0,S7kG641iA_g,,"RISE | Crazy card moves with no CGI, strings, or magnets | Cardistry by Virtuoso",thevirts,,2017-12-08T16:30:38Z,,2393693,46045,1300,1785,https://i.ytimg.com/vi/S7kG641iA_g/hqdefault.jpg,,,,"A note from The Virts about ""RISE"": If there's one thing we've learned from shuffling cards over the past 14 years, it's that you only get better at Cardistry as you ...",,,,,,,,,,,,,,,,,,,,,,,,
0,mnZvgWJodHM,,Cardistry - Virtuoso : The New FW17 Virtuoso Deck (Teaser),thevirts,,2017-12-05T18:31:25Z,,51722,1658,22,189,https://i.ytimg.com/vi/mnZvgWJodHM/hqdefault.jpg,,,,"Taking Adaptive Aesthetics to the next level, the brand new multi-faceted design forms fluid yet rhythmic patterns in spreads and displays, and paints the air with ...",,,,,,,,,,,,,,,,,,,,,,,,
0,6Y65fxIRs8Q,,Big sister reflexes,BrasherN,,2018-01-12T18:29:53Z,,3240825,37398,2914,3584,https://i.ytimg.com/vi/6Y65fxIRs8Q/hqdefault.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,C6tbgfJACu0,,"Toddler meets cat, doesn&#39;t let go when the cat leaves.",BrasherN,,2018-05-12T17:24:32Z,,7061,17,5,2,https://i.ytimg.com/vi/C6tbgfJACu0/hqdefault.jpg,,,,My neice forgot to let go of the cat when it wanted to leave. Disclaimer: This video is exclusively managed by Caters News. To license or use in a commercial ...,,,,,,,,,,,,,,,,,,,,,,,,
0,e6EGQFJLl04,,Luke Bryan - Most People Are Good (Official Music Video),LukeBryanVEVO,,2018-03-14T22:49:31Z,,10215611,64936,2761,2920,https://i.ytimg.com/vi/e6EGQFJLl04/hqdefault.jpg,,,,"The official music video for Luke Bryan's ""Most People Are Good"" I believe kids oughta stay kids As long as they can Turn off the screen, go climb a tree Get dirt ...",,,,,,,,,,,,,,,,,,,,,,,,
0,6uibAqkGc4M,,Luke Bryan - She&#39;s A Hot One (Official Audio),LukeBryanVEVO,,2017-12-08T05:00:01Z,,1031480,8278,228,258,https://i.ytimg.com/vi/6uibAqkGc4M/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""She's A Hot One"" Runnin' kind of late, got her makeup half on Touch it up good enough Ah, whatever All her girlfriends ...",,,,,,,,,,,,,,,,,,,,,,,,
0,7NcVNt7zQJM,,Luke Bryan - Out Of Nowhere Girl (Official Audio),LukeBryanVEVO,,2017-12-01T05:00:01Z,,2047729,17001,758,598,https://i.ytimg.com/vi/7NcVNt7zQJM/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""Out Of Nowhere Girl"" It's just a regular Saturday night in the summer Same guys and girls and the same stars way up in ...",,,,,,,,,,,,,,,,,,,,,,,,
0,iI8TEF9Z-yY,,Luke Bryan - Hungover In A Hotel Room (Official Audio),LukeBryanVEVO,,2017-12-08T05:00:01Z,,1258810,8822,390,270,https://i.ytimg.com/vi/iI8TEF9Z-yY/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""Hungover In A Hotel Room"" Hungover in a hotel room Cell phone's dead You're stretched out next to me Lost ...",,,,,,,,,,,,,,,,,,,,,,,,
0,wyG9crXjQpM,,Luke Bryan - Bad Lovers (Official Audio),LukeBryanVEVO,,2017-12-08T05:00:04Z,,1622136,17387,698,341,https://i.ytimg.com/vi/wyG9crXjQpM/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""Bad Lovers"" Sun coming up through the blinds on your pretty face I'm just laying in these tangled sheets, watching you ...",,,,,,,,,,,,,,,,,,,,,,,,
0,pvg2cw5oshg,,Luke Bryan - Hooked On It (Official Audio),LukeBryanVEVO,,2017-11-17T05:00:02Z,,1169737,9419,466,329,https://i.ytimg.com/vi/pvg2cw5oshg/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""Hooked On It"" First time I tied a plastic worm on and felt him on the other end It was get the net, get him in the boat Yeah ...",,,,,,,,,,,,,,,,,,,,,,,,
0,fbIjOdEy_R8,,Luke Bryan - Driving This Thing (Official Audio),LukeBryanVEVO,,2017-12-08T05:00:01Z,,481190,3918,239,163,https://i.ytimg.com/vi/fbIjOdEy_R8/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""Driving This Thing"" I know this town like the back of my hand Every back road, every turn road Baby, where you wanna ...",,,,,,,,,,,,,,,,,,,,,,,,
0,7GBNXrrN058,,Luke Bryan - Like You Say You Do (Official Audio),LukeBryanVEVO,,2017-12-08T05:00:01Z,,784721,6864,243,229,https://i.ytimg.com/vi/7GBNXrrN058/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""Like You Say You Do"" I watch you tell everyone That she is your only one But I see the other side Know all the things ...",,,,,,,,,,,,,,,,,,,,,,,,
0,5iNp-yauYJ8,,Luke Bryan - Drinking Again (Official Audio),LukeBryanVEVO,,2017-12-08T05:00:00Z,,521151,3542,201,129,https://i.ytimg.com/vi/5iNp-yauYJ8/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""Drinking Again"" It's five o'clock, so we're drinking again Wearing flip flops, so we're drinking again There's a jukebox, ...",,,,,,,,,,,,,,,,,,,,,,,,
0,kRMq5nHJXmM,,Luke Bryan - Win Life (Official Audio),LukeBryanVEVO,,2017-12-08T05:00:03Z,,348095,2465,162,102,https://i.ytimg.com/vi/kRMq5nHJXmM/hqdefault.jpg,,,,"The official audio video for Luke Bryan's ""Win Life"" Ain't tryna to be hero Just tryna cash a paycheck 'Til the clock hits zero Make the most of these days left Found ...",,,,,,,,,,,,,,,,,,,,,,,,
0,IqutUA3UOuw,,Tessa Virtue and Scott Moir kiss during Sochi 2014 FD warmup,souviendra,,2018-02-11T18:45:54Z,,452127,2170,62,113,https://i.ytimg.com/vi/IqutUA3UOuw/hqdefault.jpg,,,,Olympics Team Event – Ice Dance – Free Dance. No infringement intended. Found this on another site years ago.,,,,,,,,,,,,,,,,,,,,,,,,
0,uRP4nAGMYCY,,True Facts: Frog Fish,zefrank1,,2018-04-24T21:26:51Z,,4689055,185585,2111,16113,https://i.ytimg.com/vi/uRP4nAGMYCY/hqdefault.jpg,,,,"Yup. We're back. https://www.patreon.com/truefacts Thanks to Scubazoo Images, Shutterstock and http://www.soundcloud.com/querflote.",,,,,,,,,,,,,,,,,,,,,,,,
0,1h7KV2sjUWY,,True Facts : Ant Mutualism,zefrank1,,2018-05-18T01:00:06Z,,4078164,124512,993,5816,https://i.ytimg.com/vi/1h7KV2sjUWY/hqdefault.jpg,,,,https://www.patreon.com/truefacts True Facts T-shirts: https://ze-true-store.myshopify.com/,,,,,,,,,,,,,,,,,,,,,,,,
0,Hzk1bM2vVFU,,True Facts : Carnivorous Plants,zefrank1,,2018-05-07T19:50:01Z,,12997637,308789,8128,14282,https://i.ytimg.com/vi/Hzk1bM2vVFU/hqdefault.jpg,,,,https://www.patreon.com/truefacts True Facts T-shirts: https://ze-true-store.myshopify.com/,,,,,,,,,,,,,,,,,,,,,,,,
0,mbnBYh-BJ1g,,True Facts : Pangolins Posse,zefrank1,,2018-06-13T15:40:35Z,,6623771,179509,1861,6230,https://i.ytimg.com/vi/mbnBYh-BJ1g/hqdefault.jpg,,,,"https://www.patreon.com/truefacts True Facts T-shirts: https://ze-true-store.myshopify.com/ ""The giant anteater resembles a walking index finger with a ...",,,,,,,,,,,,,,,,,,,,,,,,
0,s1cpCfX-mgo,,Incubus - Loneliest,IncubusVEVO,,2018-01-12T05:00:01Z,,1040186,17423,686,914,https://i.ytimg.com/vi/s1cpCfX-mgo/hqdefault.jpg,,,,Directed by: Julian Schratter Produced by: Through Whose Productions Edited by: Ryan Adams at Subtractive Choreography by Mana Shimokawa ...,,,,,,,,,,,,,,,,,,,,,,,,
0,LTyKOzyqyCM,,Incubus - No Fun,IncubusVEVO,,2018-01-31T05:00:01Z,,1271261,15610,558,825,https://i.ytimg.com/vi/LTyKOzyqyCM/hqdefault.jpg,,,,Directed and Edited by: Julian Schratter Produced by: Through Whose Productions Music video by Incubus performing No Fun. (C) 2018 Incubus under ...,,,,,,,,,,,,,,,,,,,,,,,,
0,pkwSoJrVWAY,,📄 Paper Programs Tutorial,JanPaul123,,2018-01-15T18:03:41Z,,11212,69,1,8,https://i.ytimg.com/vi/pkwSoJrVWAY/hqdefault.jpg,,,,See paperprograms.org for more information. Note: I've disabled the cloud version; you have to run it locally now. See the repo for more details: ...,,,,,,,,,,,,,,,,,,,,,,,,
0,HTVkVP4v-QM,,🎵 Poi on the beach,JanPaul123,,2018-02-10T21:38:42Z,,172,8,0,0,https://i.ytimg.com/vi/HTVkVP4v-QM/hqdefault.jpg,,,,"Bonaire, 2018.",,,,,,,,,,,,,,,,,,,,,,,,
0,CJzaYLc4pPY,,NF - NO NAME,NFVEVO,,2018-01-19T05:00:00Z,,54579962,746612,14436,45325,https://i.ytimg.com/vi/CJzaYLc4pPY/hqdefault.jpg,,,,"Producer: Nathan Feuerstein & Patrick Tohill Director: Patrick Tohill & Nathan Feuerstein Music video by NF performing NO NAME. (C) 2018 NF Real Music, LLC ...",,,,,,,,,,,,,,,,,,,,,,,,
0,H3GoaSeHZrU,,"Nipsey Hussle Bros Down w/ James Harden, You&#39;re an L.A. Legend! | TMZ Sports",TMZSports,,2018-02-16T17:30:00Z,,261790,1744,32,106,https://i.ytimg.com/vi/H3GoaSeHZrU/hqdefault.jpg,,,,You can tell James Harden was genuinely touched when Nipsey Hussle called him out in the middle of an L.A. street last night ... and bragged about his success ...,,,,,,,,,,,,,,,,,,,,,,,,
0,UmSmvZdBq-0,,UFC&#39;s Khabib Nurmagomedov: I&#39;ll Fight Conor McGregor for Free | TMZ Sports,TMZSports,,2018-01-03T13:57:20Z,,275661,4437,120,990,https://i.ytimg.com/vi/UmSmvZdBq-0/hqdefault.jpg,,,,UFC superstar Khabib Nurmagomedov says he's not a DIVA like Conor McGregor -- and would fight the Irish superstar for ZERO dollars ... just to whoop his ass.,,,,,,,,,,,,,,,,,,,,,,,,
0,kPojGaaMjP0,,"John Cena Wants to Be a Dad, Life Exists Outside of Work | TMZ Sports",TMZSports,,2018-06-04T13:41:24Z,,332864,5933,126,562,https://i.ytimg.com/vi/kPojGaaMjP0/hqdefault.jpg,,,,John Cena says he doesn't just want to have kids to win Nikki Bella back -- telling TMZ Sports he's had epiphany about wanting to have a family outside of his ...,,,,,,,,,,,,,,,,,,,,,,,,
0,OaUkwdo7fS4,,Khabib Nurmagomedov Dishes on Meeting Ronaldo: He LOVES the UFC (And Me) | TMZ Sports,TMZSports,,2018-02-18T21:43:59Z,,107534,1709,34,213,https://i.ytimg.com/vi/OaUkwdo7fS4/hqdefault.jpg,,,,How big of an MMA fan is Cristiano Ronaldo? SUBSCRIBE -- http://po.st/TMZSportsSubscribe About TMZ Sports: Some of the best stories in sports have been off ...,,,,,,,,,,,,,,,,,,,,,,,,
0,g_iF0YLjDks,,"UFC&#39;s Derrick Lewis  Sex Ban&#39;s Over, But I&#39;m Too Hurt to Bang! | TMZ Sports",TMZSports,,2018-02-20T22:07:47Z,,155759,2130,55,207,https://i.ytimg.com/vi/g_iF0YLjDks/hqdefault.jpg,,,,Derrick Lewis is a VERY happy man after getting the W at UFC Fight Night in Austin -- 'cause he won ... but mostly 'cause his wife says she's ending his booty ...,,,,,,,,,,,,,,,,,,,,,,,,
0,8rEdHaWCVG0,,Jermall Charlo Says He Used to Whoop Brother Jermell Charlo&#39;s A** | TMZ Sports,TMZSports,,2018-05-08T23:36:29Z,,49891,892,23,100,https://i.ytimg.com/vi/8rEdHaWCVG0/hqdefault.jpg,,,,Just a little brotherly spar SUBSCRIBE -- http://tmz.me/j0hSW37 About TMZ Sports: Some of the best stories in sports have been off the field and we're reporting ...,,,,,,,,,,,,,,,,,,,,,,,,
0,2v7NAcgdJfI,,Master P&#39;s Son Mercy Says He Could Take LeBron James Jr. in Hoops | TMZ Sports,TMZSports,,2018-03-30T13:51:32Z,,198222,1560,55,211,https://i.ytimg.com/vi/2v7NAcgdJfI/hqdefault.jpg,,,,"Master P's kid Mercy says he isn't scared of ANY young baller in his age range ... even the much hyped LeBron James Jr., telling TMZ Sports he thinks he could ...",,,,,,,,,,,,,,,,,,,,,,,,
0,0tUH52V5m8M,,"Christian McCaffrey: Intense 911 Call, &#39;Everybody Say a Prayer&#39;",TMZSports,,2018-03-09T17:03:26Z,,224416,2696,38,520,https://i.ytimg.com/vi/0tUH52V5m8M/hqdefault.jpg,,,,TMZ Sports has obtained the 911 call Christian McCaffrey made to help save a stranger's life ... and it details how serious the accident actually was. SUBSCRIBE ...,,,,,,,,,,,,,,,,,,,,,,,,
