,0,1
0,"[['person', 0.851622462272644], ['person', 0.8487235903739929], ['person', 0.5514638423919678], ['person', 0.5157884359359741], ['person', 0.16672101616859436], ['tv', 0.019821714609861374]]",pisY6J2Ky6U
1,"[['person', 0.2451687604188919], ['person', 0.18391190469264984], ['person', 0.07415842264890671], ['person', 0.044774167239665985], ['person', 0.01764179766178131]]",QS8bma7LRX4
2,"[['person', 0.4948582649230957], ['person', 0.46235644817352295], ['tie', 0.022010786458849907], ['chair', 0.01911984011530876], ['chair', 0.014620174653828144], ['chair', 0.012230798602104187]]",tFLEym5aBzA
3,"[['person', 0.9332579374313354], ['cell phone', 0.6347007751464844], ['remote', 0.10976970195770264], ['book', 0.011637022718787193], ['remote', 0.010362228378653526]]",r3J784MSRyQ
4,"[['person', 0.798755943775177], ['vase', 0.5317667722702026], ['cup', 0.06130455061793327], ['wine glass', 0.039192602038383484], ['bottle', 0.020844461396336555], ['potted plant', 0.02045697718858719], ['chair', 0.015242839232087135]]",zS5-hxARjJo
5,"[['person', 0.5831204652786255], ['person', 0.5474530458450317], ['cake', 0.32815471291542053], ['cake', 0.22658203542232513], ['donut', 0.2139052450656891], ['person', 0.20862065255641937], ['donut', 0.15408919751644135], ['cup', 0.01858353801071644]]",Eq1BuMoTW7Q
6,"[['person', 0.9269518852233887], ['person', 0.8251175880432129], ['cell phone', 0.6283861994743347], ['cell phone', 0.2769261598587036], ['cell phone', 0.2616226077079773], ['chair', 0.11555555462837219], ['person', 0.09656532853841782], ['cup', 0.06681649386882782], ['cell phone', 0.038514260202646255], ['person', 0.0380534790456295], ['book', 0.03173669055104256], ['remote', 0.029029907658696175], ['donut', 0.02550801821053028], ['remote', 0.01758423261344433], ['chair', 0.01585940457880497], ['cell phone', 0.013399656862020493], ['cup', 0.012942354194819927], ['wine glass', 0.010472949594259262]]",n-To9W4AA2k
7,"[['person', 0.013610362075269222]]",cUMQfRrqOs8
8,"[['person', 0.6638694405555725], ['chair', 0.13038961589336395], ['kite', 0.05988122522830963], ['umbrella', 0.031250178813934326]]",3VLNxH9uX6Y
9,"[['person', 0.49315395951271057], ['tv', 0.4747832715511322], ['person', 0.3658411502838135], ['bottle', 0.2928938865661621], ['cake', 0.24029067158699036], ['cup', 0.06722034513950348], ['cup', 0.0618354007601738], ['person', 0.045532550662755966], ['bottle', 0.04049362614750862], ['cup', 0.03898920491337776], ['bottle', 0.03655943274497986], ['cup', 0.035662103444337845], ['cup', 0.026273448020219803], ['bottle', 0.022406885400414467], ['dining table', 0.0188760943710804], ['person', 0.017249848693609238], ['cup', 0.016515325754880905], ['bottle', 0.012897935695946217], ['cup', 0.012859209440648556], ['cup', 0.012142609804868698], ['baseball glove', 0.011843412183225155], ['bottle', 0.011816921643912792], ['person', 0.011075744405388832], ['cup', 0.01076545100659132]]",g0xVbwXs9jo
10,"[['person', 0.7350086569786072], ['sports ball', 0.5170252919197083], ['baseball glove', 0.2931807041168213], ['person', 0.25446245074272156], ['frisbee', 0.11951088160276413], ['person', 0.0919332504272461], ['sports ball', 0.08941108733415604], ['person', 0.07888606935739517], ['sports ball', 0.069306880235672], ['tennis racket', 0.05976591259241104], ['person', 0.058521099388599396], ['person', 0.051786016672849655], ['person', 0.043048251420259476], ['frisbee', 0.02848399616777897], ['bowl', 0.023421654477715492], ['tennis racket', 0.018206529319286346], ['person', 0.017080510035157204], ['person', 0.016827654093503952], ['baseball glove', 0.0160698052495718], ['person', 0.0143590634688735], ['person', 0.014278876595199108], ['book', 0.012669019401073456], ['sports ball', 0.012584066949784756]]",qK11sSjEM3c
11,"[['person', 0.3176596462726593], ['person', 0.15497775375843048], ['toothbrush', 0.07684759795665741], ['person', 0.038164619356393814], ['toothbrush', 0.0174558125436306], ['tie', 0.0162081029266119], ['person', 0.015170682221651077], ['tv', 0.01489229965955019], ['handbag', 0.012970460578799248]]",8bn9OBHoO0k
12,"[['person', 0.7160199880599976], ['person', 0.140668123960495], ['chair', 0.08967293798923492], ['bottle', 0.07727609574794769], ['bench', 0.0378643274307251], ['bottle', 0.015181485563516617], ['cup', 0.012651258148252964]]",yA4xvRkZYjs
13,"[['person', 0.8447442650794983], ['sports ball', 0.07851582020521164], ['donut', 0.032141994684934616], ['banana', 0.031054195016622543], ['toothbrush', 0.02095133252441883], ['hot dog', 0.015143340453505516]]",qmxMAdV6s4U
14,"[['tie', 0.9391924142837524], ['person', 0.7996084690093994]]",bOG0X1WvXVU
15,"[['person', 0.6356890201568604], ['person', 0.5003294944763184], ['tie', 0.44593292474746704], ['car', 0.4040376543998718], ['tie', 0.15887510776519775], ['traffic light', 0.1184999942779541], ['tie', 0.07059475034475327], ['person', 0.048286233097314835], ['traffic light', 0.04179704189300537], ['person', 0.030602557584643364], ['person', 0.023388363420963287], ['person', 0.021819863468408585], ['traffic light', 0.020119380205869675], ['car', 0.02006247080862522], ['person', 0.019154131412506104], ['person', 0.01762024126946926], ['person', 0.017554324120283127], ['person', 0.017027270048856735], ['person', 0.015609501861035824], ['person', 0.011342016980051994], ['car', 0.010551475919783115], ['tie', 0.010138715617358685]]",ZtiCq8S0hq4
16,"[['dog', 0.30361220240592957], ['cow', 0.08142697066068649], ['sheep', 0.060627687722444534], ['person', 0.04152054712176323], ['bird', 0.023473646491765976], ['bear', 0.02293291501700878]]",0C3pC-uonZU
17,"[['person', 0.7336962819099426], ['person', 0.53461754322052], ['person', 0.27915433049201965], ['person', 0.24280016124248505], ['person', 0.23601895570755005], ['person', 0.154330775141716], ['person', 0.13300953805446625], ['person', 0.08817097544670105], ['tie', 0.05969013646245003], ['person', 0.05859175696969032], ['tie', 0.05579744279384613], ['cell phone', 0.04850609600543976], ['person', 0.04408787190914154], ['person', 0.04054369777441025], ['person', 0.02836151048541069], ['person', 0.027783505618572235], ['tie', 0.027104176580905914], ['person', 0.021987656131386757], ['person', 0.019044950604438782], ['person', 0.018302202224731445], ['person', 0.01744534820318222], ['person', 0.01598404347896576], ['tv', 0.014025899581611156], ['person', 0.01271393895149231], ['person', 0.011095804162323475]]",xoeObnVyBug
18,"[['orange', 0.4135296046733856], ['orange', 0.2004925012588501], ['donut', 0.1376074105501175], ['donut', 0.04132825508713722], ['vase', 0.03848053142428398], ['cake', 0.03816508129239082], ['orange', 0.036024194210767746], ['donut', 0.027494877576828003], ['orange', 0.026151390746235847], ['donut', 0.020584670826792717], ['cake', 0.019125942140817642], ['vase', 0.012693635188043118], ['dining table', 0.011774931102991104], ['teddy bear', 0.010016514919698238]]",ghNoCu0QiH4
19,"[['kite', 0.48320984840393066], ['kite', 0.029606753960251808], ['kite', 0.010661553591489792]]",fxNNP9kifNg
20,"[['cell phone', 0.5351974964141846], ['person', 0.19313950836658478], ['teddy bear', 0.1611003428697586], ['person', 0.03742888569831848], ['remote', 0.031847525388002396], ['cell phone', 0.015371713787317276], ['kite', 0.014013868756592274], ['cell phone', 0.013470775447785854], ['teddy bear', 0.01187309343367815], ['person', 0.011356973089277744]]",9brhgq2OmXw
21,"[['microwave', 0.5415723919868469], ['oven', 0.2836560308933258], ['tv', 0.16587546467781067], ['laptop', 0.041515618562698364], ['bottle', 0.021288862451910973], ['train', 0.020160995423793793]]",JGEsZBPkjNY
22,"[['scissors', 0.3619275987148285], ['umbrella', 0.2193366140127182], ['boat', 0.11981909722089767], ['chair', 0.0641137883067131], ['train', 0.031654756516218185], ['bus', 0.030956337228417397], ['truck', 0.018431825563311577]]",aHjS9YBXzXU
23,"[['person', 0.34638532996177673], ['tv', 0.015904659405350685]]",lRmsyFCP-Jw
24,"[['tv', 0.09685155004262924], ['person', 0.08860036730766296], ['car', 0.021034447476267815], ['bus', 0.02069847472012043], ['truck', 0.020436376333236694], ['refrigerator', 0.014989668503403664], ['dog', 0.010695857927203178]]",C535gMNdiDk
25,"[['person', 0.9364294409751892], ['cell phone', 0.07521262019872665], ['cell phone', 0.015895983204245567]]",BhIEIO0vaBE
26,"[['person', 0.2790076732635498], ['snowboard', 0.019701261073350906], ['person', 0.012493880465626717]]",9Szts88zY4o
27,"[['person', 0.8921703100204468], ['traffic light', 0.048308782279491425], ['tv', 0.036763738840818405], ['traffic light', 0.022738633677363396], ['handbag', 0.021635660901665688], ['traffic light', 0.015872962772846222], ['traffic light', 0.013849924318492413], ['traffic light', 0.011527828872203827], ['person', 0.010383998043835163]]",2z3EUY1aXdY
28,"[['bird', 0.2174023985862732], ['person', 0.12145426869392395], ['dog', 0.09480420500040054], ['bed', 0.09214822947978973], ['couch', 0.08308662474155426], ['person', 0.060931600630283356], ['person', 0.05370713770389557], ['person', 0.04783039912581444], ['cat', 0.04079248756170273], ['book', 0.020710548385977745], ['cat', 0.01883908547461033], ['book', 0.01658392883837223], ['sheep', 0.01615775004029274], ['book', 0.015718309208750725], ['parking meter', 0.015638208016753197], ['person', 0.013732547871768475], ['book', 0.013545864261686802], ['person', 0.011978263966739178], ['book', 0.01136049348860979], ['person', 0.010914096608757973], ['person', 0.010454325936734676], ['book', 0.010297371074557304], ['potted plant', 0.010019042529165745]]",NooW_RbfdWI
29,"[['person', 0.7933496832847595], ['person', 0.5113166570663452], ['person', 0.1432930827140808], ['tv', 0.02133980207145214], ['person', 0.019412802532315254], ['person', 0.01657259836792946], ['person', 0.013359199278056622], ['wine glass', 0.011906011030077934], ['person', 0.010268076322972775]]",pVxOVlm_lE8
30,"[['person', 0.9528993964195251], ['person', 0.8735049366950989], ['person', 0.5427361726760864], ['person', 0.515740692615509], ['person', 0.4584919512271881], ['person', 0.314251184463501], ['person', 0.27505379915237427], ['person', 0.07540453225374222], ['handbag', 0.02312547340989113], ['train', 0.021725550293922424], ['backpack', 0.013266987167298794], ['cell phone', 0.011755546554923058], ['handbag', 0.011061277240514755], ['bicycle', 0.010047351010143757]]",8brYvhEg5Aw
31,"[['person', 0.5100740790367126], ['car', 0.13338017463684082], ['truck', 0.06569808721542358], ['person', 0.044196996837854385], ['car', 0.0328030027449131], ['person', 0.024408744648098946]]",wb49-oV0F78
32,"[['car', 0.14498138427734375], ['truck', 0.10986264050006866], ['person', 0.010223370976746082]]",oMOljrWUUXc
33,"[['person', 0.8949723839759827], ['cake', 0.1379726529121399], ['person', 0.10972732305526733], ['dining table', 0.012470297515392303]]",XltvwqBZIPc
