,0,1
0,"[['person', 0.22248685359954834], ['person', 0.05602773278951645], ['horse', 0.04379516839981079], ['person', 0.035596687346696854], ['person', 0.032218024134635925], ['motorcycle', 0.028927484527230263], ['horse', 0.012804455123841763]]",wtTmLBfIiG4
1,"[['person', 0.9686161279678345], ['person', 0.8619770407676697], ['person', 0.6741780638694763], ['person', 0.5064207315444946], ['teddy bear', 0.39186131954193115], ['cow', 0.06566929817199707], ['person', 0.05132444202899933], ['dog', 0.03814924508333206], ['teddy bear', 0.017856553196907043]]",kZ3xRQOhpQI
2,"[['person', 0.6546910405158997], ['car', 0.15225480496883392], ['tie', 0.032817475497722626], ['car', 0.026254255324602127], ['person', 0.017914237454533577], ['truck', 0.011664798483252525]]",kz1xzBYppW8
3,"[['person', 0.6194198131561279], ['stop sign', 0.05187833681702614], ['person', 0.049015067517757416], ['tie', 0.030436230823397636], ['person', 0.016313796862959862], ['person', 0.011203349567949772]]",31Fbv9qRV7s
4,"[['person', 0.9495965838432312], ['person', 0.6946955323219299], ['bicycle', 0.1170954555273056], ['bench', 0.024597985669970512], ['chair', 0.022618137300014496], ['backpack', 0.01756281778216362], ['person', 0.01665133237838745], ['horse', 0.01620819978415966], ['bicycle', 0.016056621447205544], ['tv', 0.010792487300932407], ['bench', 0.010678193531930447], ['bottle', 0.010541175492107868]]",Gjs1QSa9fpI
5,"[['person', 0.22902843356132507], ['bottle', 0.08609656244516373], ['bed', 0.033396556973457336], ['bottle', 0.032496191561222076], ['bottle', 0.020416611805558205], ['bottle', 0.013373464345932007], ['toothbrush', 0.012974943965673447], ['toothbrush', 0.011297821998596191], ['person', 0.010500898584723473]]",NvG1FTafzAw
6,"[['person', 0.31184861063957214]]",hphLiGW6FgE
7,"[['person', 0.9053924679756165], ['chair', 0.018808068707585335]]",sMEmj80EJy8
8,"[['person', 0.9395738840103149], ['person', 0.030872369185090065], ['motorcycle', 0.011618577875196934]]",32YGGYaUTgE
9,"[['person', 0.49854692816734314], ['person', 0.41679254174232483], ['person', 0.014053557068109512]]",8J2q99ApzGs
10,"[['person', 0.10847161710262299], ['chair', 0.07908608019351959], ['car', 0.042190201580524445], ['person', 0.02882212959229946], ['chair', 0.011797871440649033], ['bench', 0.011513146571815014]]",1UPJ_Uk9s5c
