,0,1
139,"['Angry', 'Happy', 'Angry', 'Neutral']",hOulcmOHCIQ
140,['Sad'],v9wbMzkVseE
141,[],FnAx2bLICOo
142,"['Happy', 'Sad']",JcdLF6XQ0iw
143,['Fear'],1Znl8OUBa_o
144,['Neutral'],SO0HTI8QuQU
145,[],GjDK_6NtYGQ
146,['Sad'],I-xZz2OabW0
147,['Sad'],tBnIH8xPyZA
148,"['Angry', 'Sad', 'Happy']",8bXF29AeVQc
149,['Sad'],D0N3qaqXymY
150,['Angry'],gy_aLyB41wQ
151,[],1iGBHh1q0Kg
152,[],W-KEuvd3S-Q
153,"['Surprise', 'Neutral']",r1x0X5PCYak
154,['Happy'],0IC3II1i5yM
155,['Neutral'],2--Pg-y3xNk
156,[],25Uouf_9DUk
157,['Happy'],plnzNgtvvJo
158,[],muAPJiMho2Y
159,['Happy'],bUijOzaPfr8
160,[],_Lp5iMI8RWc
161,[],w-TSI1O4yGM
162,[],lSXxEdaOqgU
163,"['Angry', 'Happy']",ukqJTaHm-xc
164,['Happy'],ifkRhaEDzzo
165,['Neutral'],OsSKFlk8oEo
166,['Sad'],yfxJHGhaECA
167,[],ODLwIlXK-9o
168,[],4h-XOckOwN8
169,"['Neutral', 'Happy', 'Happy']",rBFyZRQ9Jeg
170,[],de7GaRwrr8Q
171,['Happy'],JDnfux-fSJU
172,"['Neutral', 'Sad', 'Neutral', 'Happy', 'Happy']",v_5qKt7M5fM
173,"['Happy', 'Happy', 'Happy', 'Neutral']",uJNKApY1Gys
174,[],IfkWuQY0ti8
175,"['Angry', 'Happy']",nPtNK9kitO4
176,[],4bWmB3cscBs
177,"['Happy', 'Fear']",3_keXD1yV3E
178,"['Sad', 'Surprise', 'Happy', 'Angry']",OGdfc7MA_qY
179,"['Neutral', 'Fear', 'Fear']",NP9HAYTK1cU
180,['Happy'],pWqef6cbwzI
181,[],yI2k6OKsSVw
182,[],0XARMt12oFk
183,[],8jp3SxojXpU
184,['Angry'],p_IwENcMPOA
185,"['Angry', 'Fear', 'Angry', 'Angry', 'Angry']",NePlddZpNKs
186,[],R9OHn5ZF4Uo
