,0,1
0,['Angry'],SV2sPlDLQtU
1,['Sad'],HHauPi8CS4k
2,[],5czA_L_eOp4
3,['Happy'],nranUeNkXpM
4,['Angry'],ooWd_9OAAUg
5,['Angry'],SuFMMvrf4ao
6,[],xF99M6Zilac
7,['Neutral'],PVr1BbsOwmQ
8,['Neutral'],zuRd_Eneuk8
9,['Sad'],U1RASlbIIVc
10,['Neutral'],F8BdzL8OltM
11,['Neutral'],iYGq_qc-hWY
12,"['Angry', 'Happy']",OmLxYUOgTNs
13,['Happy'],_yThFcog0nA
14,"['Happy', 'Happy', 'Neutral']",lWyRTOABEq4
15,"['Neutral', 'Neutral', 'Neutral', 'Happy', 'Happy']",9oyKePWRi8Y
16,[],B1Kitc6cMXw
17,[],mnT4MDdEazs
18,"['Sad', 'Neutral']",1WREZPc-kqQ
19,['Happy'],sd80ZipTMDE
20,[],sJzWZ1yXpek
21,['Neutral'],maAa7J3iEM8
22,"['Happy', 'Angry']",O3ttybJghsc
23,"['Happy', 'Neutral']",VHXPFrOfndg
24,"['Neutral', 'Sad']",Dtp6sO2tU0k
25,"['Sad', 'Angry', 'Neutral']",YsufMtUOXtI
26,[],TteS6q20VUY
27,[],UUreMfN5eNA
28,['Fear'],kVVtBDaY8i4
29,['Angry'],WvV5TbJc9tQ
30,['Happy'],6-xB3ij-5xM
31,[],XZo5o1Y0h9o
32,[],K5BoE8eBzoI
33,[],yMvpbrJ1CWQ
34,[],tMSu3Gyz1jU
35,[],OSBl32lNGBg
36,"['Angry', 'Angry']",fEhgT7G6ouQ
37,[],l2StCpw8z-s
38,['Angry'],moc_dHHp4LQ
39,['Happy'],IYyjBXDyYLo
40,"['Angry', 'Happy']",FL9BbzUYXjA
41,[],mto2mNFbrps
42,[],pEN_htHtt_c
43,[],inFGj1IyIwk
44,[],2NpetP71B1o
45,"['Angry', 'Happy', 'Sad', 'Fear']",Hgc2njyY4Rs
46,[],4JGWxG-vE24
47,['Fear'],S4vKQbpOn5k
48,['Neutral'],O4Kb40pnoOY
49,"['Happy', 'Happy', 'Sad']",RsIIT6rXnSM
50,"['Sad', 'Happy', 'Happy']",lxSWRdgD4Ho
51,[],aO7yzmc3ykw
52,['Happy'],rQ7yPtJ5Y7I
53,"['Fear', 'Neutral', 'Sad']",oo9JMSiI55M
54,['Sad'],jjEmFB7zY4o
55,['Sad'],eIj9vqnhQ6I
56,"['Happy', 'Happy']",7VnEPIBsp20
57,[],S45Y5WQ4Ucs
58,['Happy'],VQhIUzPJi8o
59,"['Neutral', 'Sad']",q_MmN6-KLXg
60,['Neutral'],IxF3mxWbdjw
61,[],e2R0NSKtVA0
62,[],Q48VduIflPk
63,['Sad'],IoqDYnn7VKA
64,"['Happy', 'Happy']",EaEesT3HO4w
65,[],oX8-6whswEA
66,[],S1ke1xQ-rmY
67,['Happy'],naOKPDCngMI
68,[],phGlo_TNDp0
69,[],SWUrl7FpkAo
70,['Sad'],AZTn1UMs408
71,['Neutral'],x4TZEVqKIvs
72,[],PjqKPHZJgF0
73,"['Sad', 'Neutral']",O6BODAJVYc8
