,0,1
0,[],l0rAEPJoWeE
1,[],caCdf94Blfw
2,['Fear'],Wk6Z7HLpx8s
3,['Neutral'],JZoO1Ftj-bM
4,[],_fVUX6-7VKE
5,['Sad'],VRJmcxCrAOA
6,"['Happy', 'Neutral']",e2ExvdtmIyU
7,['Angry'],eUgrVCDUCtE
8,[],Lj6Y6JCu-l4
9,['Sad'],NkgW3SLLZgU
10,['Happy'],K0u_kAWLJOA
11,"['Neutral', 'Happy']",uGwcNjWrgaU
12,"['Neutral', 'Sad', 'Happy', 'Fear', 'Sad']",phCIKfJY7SU
13,"['Happy', 'Happy']",lk8lozFBXpo
14,"['Sad', 'Angry']",AKmlFyQaiXo
15,[],KpL6X856Y2E
16,['Neutral'],dAyg7C2-mjQ
17,[],IvAvHjYoLUU
18,['Happy'],vCWrArYJntc
19,"['Happy', 'Happy']",bqPARIKHbN8
20,['Angry'],d3h_uD-5d7A
21,"['Fear', 'Sad']",J41qe-TM1DY
22,['Happy'],rWHrWuDnReM
23,['Happy'],e89IWTGdIuQ
24,['Fear'],EsdjC5dsOTM
25,"['Happy', 'Neutral']",1zO2JEV6He0
26,[],ZWMp9BpWODk
27,"['Happy', 'Angry', 'Sad', 'Sad']",TYFAkFxeukE
28,"['Happy', 'Sad', 'Happy', 'Neutral', 'Happy', 'Neutral']",2gGRX1bvgS8
29,['Neutral'],mA4NVRV1FGU
30,['Neutral'],z91xQ5u-_wY
31,['Happy'],xPsEiZAOb_I
32,['Sad'],A4cASDml7Vk
33,['Neutral'],k9XvXBqhu-E
34,['Happy'],A6owSHYjOiE
35,['Sad'],Z9Mscw3O2XA
36,[],g3N-vtknJG8
37,['Sad'],5gZWna6RnCA
38,['Fear'],oWjxSkJpxFU
39,"['Sad', 'Neutral']",ltzy5vRmN8Q
40,[],8BAhwgjMvnM
41,"['Happy', 'Fear', 'Happy']",GWMKelv5Bmw
42,['Fear'],NZ0ImXT1FZk
43,[],OGYASOBiU_E
44,[],16a1LttU5qc
45,['Happy'],shiTAXD78Y8
46,['Sad'],1QR-GsZkE3E
47,['Angry'],3ChgRbqGi-E
48,[],cMtHByGJ8Ao
49,"['Sad', 'Neutral', 'Sad', 'Happy']",jyNFL5t2A-U
50,"['Neutral', 'Angry', 'Sad']",txHbh2PAeV4
51,['Happy'],dPWg-A9tiRI
52,['Neutral'],sgX_StgXGF0
53,['Angry'],8gcUmiOlM1M
54,[],NuXHriwQB9g
55,['Surprise'],AKstzozuLKY
56,['Happy'],Cs2Xr2b7ako
57,[],p5HH2UfZ2wE
58,"['Neutral', 'Sad', 'Happy']",dZWNPEC6SIw
59,['Angry'],5x-d3pabd5o
60,[],P-MQBhBwvgM
61,"['Neutral', 'Sad']",6wHZT2t78E4
62,"['Angry', 'Sad']",NOciiz9WK5Y
63,[],4MYaA4WEo1Y
64,['Sad'],lzEctvL0vrg
65,[],XKSHDDBAd1w
66,[],90CCjgX0n20
67,[],oZm_N6aSU0E
68,['Neutral'],Uh4XJjr53vg
69,['Happy'],TMfStd3v330
70,"['Happy', 'Sad', 'Sad', 'Angry', 'Angry']",6A3cHzFQsqI
71,[],mJ-lFt9_uxI
72,['Happy'],YNpCXG66_PA
73,['Angry'],Cd2Ue_xw1oo
74,[],K9kVsnTQh-g
75,['Happy'],vBQOVNuSNvI
76,[],y2l7bhf5fJo
77,"['Sad', 'Fear']",RqAFeV8Bosc
78,['Happy'],8MPbR6Cbwi4
79,['Fear'],lfIhBu0TZBs
80,[],NSi-MniOTqI
81,['Happy'],8ll04Zzw5UM
82,[],eEDZuFw34YM
83,"['Sad', 'Sad']",XblV5A1PlDo
84,['Fear'],IBHx9uwCy3w
85,['Happy'],DJFeaRWJdy8
86,[],yN7N0P2TxHQ
87,['Happy'],fOsphXJvaUE
88,['Happy'],efve8-mhdVg
89,['Neutral'],wDrx1pxh-Po
90,['Neutral'],D18e8aU-UWs
91,"['Happy', 'Sad']",pjTj-_55WZ8
92,['Angry'],JWAvRIpuj1U
93,['Angry'],t8a8EFMAuSU
94,['Neutral'],dOv-1NG-YKc
95,['Angry'],zq0T7ye-Pn4
96,[],x25k_-Katf4
97,['Neutral'],t3z_pdr6z8w
98,[],CZMO9Ud0tOU
99,['Neutral'],KtA3Wp8eNgA
100,"['Happy', 'Happy']",0GQmGOju6CE
101,"['Happy', 'Angry']",XIZmIl9SsXk
102,['Angry'],zsbT6NMUrSk
103,"['Happy', 'Angry']",Np0LMwqtOVM
104,"['Sad', 'Fear']",Mhzmc7LRIGo
105,[],52L2HML5O1k
106,"['Happy', 'Sad', 'Neutral', 'Happy', 'Fear', 'Neutral', 'Fear', 'Happy']",HvPbH30KWLE
107,"['Sad', 'Neutral']",XT3gEidTKAc
108,['Sad'],9r6NI9m_IxM
109,"['Sad', 'Sad']",Z00-9MhEw5o
110,['Happy'],kDiJh8loTOE
111,[],RjujNLl1jyk
112,"['Happy', 'Angry']",qNl4-y6q5rc
113,['Happy'],Prnw-NqXSEY
114,['Sad'],0ufNmUyf2co
115,"['Sad', 'Angry']",byBCkV_j-As
116,"['Happy', 'Fear']",gTRRvvE3HiU
117,"['Sad', 'Sad']",leHtDz4Mj0M
118,[],SS0ebmCqHxs
119,['Happy'],oGmIFXfgPM4
120,"['Sad', 'Sad']",Q1CFfU2gXHw
121,['Happy'],uikOKrrwsfw
122,"['Neutral', 'Neutral', 'Neutral']",Di4QJUCElgs
123,[],Zvg6b6q1s-Y
124,[],a3Z3HAdHFdo
125,"['Happy', 'Happy']",klGP5rtA76c
126,['Angry'],S74uFJHI6gM
127,[],qDI8LnPq3VY
128,[],y6KYFcta4SE
129,[],mqf0f1h8ZTU
130,[],EQzWr52gCWA
131,[],1e5vRpODASk
132,[],pkwSoJrVWAY
133,['Neutral'],zkG4Xpz6t68
134,"['Angry', 'Sad']",yKVAhDbSito
135,[],jLCHpZ6B1gU
136,[],4Uhe7pNqCFo
137,"['Sad', 'Fear']",f_jTeuajas0
138,['Sad'],RQUuqbzQVsY
139,['Sad'],FmE8DwZ6RHk
140,"['Happy', 'Angry', 'Happy', 'Happy', 'Neutral']",MjSZs_uOWxg
141,['Happy'],iNT-tPrz4OM
142,"['Angry', 'Neutral']",q11UD-6XT-8
143,"['Happy', 'Happy', 'Happy', 'Happy', 'Sad']",gNG0GiSrwas
144,['Happy'],I5qFoctplSU
145,"['Sad', 'Sad', 'Angry']",CbfnCflL4-E
146,['Sad'],gfmXCAwBkCE
147,['Sad'],AuWwlxym68g
148,[],9vDdx1dba6c
149,['Happy'],w6rzRBHy1tk
150,['Sad'],akNs04ef_Co
151,"['Neutral', 'Sad', 'Angry', 'Sad', 'Angry', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Angry', 'Sad']",pylyPL64uxk
152,[],xIbQZpwVweE
153,[],WB8ozD7l02w
154,['Angry'],VFnXRntc9XA
155,[],bYXM3uz1bjM
156,[],nUgMn2ntSh4
