video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
1eS_17CG9sk,ad adulting quiz manna be howlings the here people,quiz manna howling people,"[""[[163, 123], [325, 191]]"", ""[[341, 215], [391, 242]]"", ""[[267, 242], [315, 254]]"", ""[[354, 266], [425, 301]]""]"
1gSu12JpKP8,vevo,,[]
1hTLGlgZ4Z8,upgrade red band trailer,upgrade red band trailer,"[""[[29, 225], [457, 278]]"", ""[[104, 278], [164, 304]]"", ""[[169, 278], [252, 304]]"", ""[[254, 278], [375, 304]]""]"
1l26UFQ06eQ,snl,,[]
1qsRU7C_Gp0,mineownating laralel voize,,[]
1sl5KJ69qiA,youtube originals good greater field mind stop,original good great field mind stop,"[""[[77, 56], [152, 85]]"", ""[[140, 144], [219, 178]]"", ""[[26, 145], [134, 181]]"", ""[[141, 246], [252, 305]]"", ""[[13, 248], [129, 304]]"", ""[[360, 289], [382, 294]]""]"
1vc1cKeor5A,review coco,review coco,"[""[[270, 46], [474, 89]]"", ""[[0, 203], [261, 276]]""]"
1x_5E3gquFo,fox miami sizers 16 lb,fox,"[""[[425, 56], [446, 66]]""]"
1xvyVnkcgtE,swing for fences games the hit the streets with s794 in value with gold 3400 in gamerscore mboxone xbokone xaso this xbox one xbox one may133 may 16june1s may1415 may 1631 xbox 82499ffree 61999 free 1999 free 61999 free,swing fence game hit street value gold one may free,"[""[[258, 57], [318, 83]]"", ""[[385, 60], [445, 77]]"", ""[[57, 58], [249, 106]]"", ""[[260, 82], [290, 100]]"", ""[[326, 84], [389, 98]]"", ""[[365, 105], [409, 122]]"", ""[[138, 116], [238, 146]]"", ""[[370, 262], [388, 272]]"", ""[[345, 281], [363, 292]]"", ""[[369, 293], [384, 301]]""]"
1zKXeSkAgEs,charlottetilbbry beautiful the glowing look featuring newi hollywood flawless filter the duchess,beautiful glow look feature flawless filter duchess,"[""[[100, 84], [210, 112]]"", ""[[60, 113], [152, 142]]"", ""[[153, 114], [209, 144]]"", ""[[84, 145], [152, 162]]"", ""[[118, 268], [184, 286]]"", ""[[182, 268], [225, 285]]"", ""[[125, 288], [182, 305]]""]"
1zNr8Pf1QkY,guarian,,[]
20bpjtCbCz0,deadpoola final trailer,final trailer,"[""[[17, 225], [160, 264]]"", ""[[18, 262], [219, 308]]""]"
21jcP-1w4DA,what gotfor my bday hid tony,tony,"[""[[338, 233], [381, 273]]""]"
23ILq4uxd-w,have have have have have,,[]
24-AhdoN_Nk,trailer hd,trailer,"[""[[32, 198], [205, 233]]""]"
25ibuwW4Dm4,not lukes fatherp,luke,"[""[[30, 106], [236, 164]]""]"
26ZX7NbOhks,legality the of loot boxes,legality loot box,"[""[[104, 48], [304, 102]]"", ""[[70, 98], [172, 137]]"", ""[[177, 99], [312, 138]]""]"
28_tNFnMrTk,last week,last week,"[""[[4, 204], [124, 261]]"", ""[[6, 256], [125, 313]]""]"
29FW8nTF0Ww,payl winz,,[]
2AAUadR6Hjw,fio 00 ben 3130 davide macc sport chduve bt,ben sport,"[""[[92, 65], [112, 73]]"", ""[[401, 293], [425, 302]]""]"
2ATuTL5i0_c,kylie what are you doingz,,[]
2BE4X3bYpxY,cc our vevo,,[]
