video_id,thumbnail_link,region,mean_r,mean_g,mean_b,std_r,std_g,std_b,entropy,thumb_ocr_text,clean_thumb_ocr_text
Jw1Y-zhQURU,https://i.ytimg.com/vi/Jw1Y-zhQURU/default.jpg,GB,,,,,,,,,
3s1rvMFUweQ,https://i.ytimg.com/vi/3s1rvMFUweQ/default.jpg,GB,,,,,,,,,
n1WpP7iowLc,https://i.ytimg.com/vi/n1WpP7iowLc/default.jpg,GB,66.50282986111111,71.7437037037037,79.69963541666667,83.99249245189935,83.88391805371893,83.74813538479744,6.470819318402035," 
",
PUTEiSjKwJU,https://i.ytimg.com/vi/PUTEiSjKwJU/default.jpg,GB,86.53433449074075,73.28427083333334,69.15066550925926,78.3305009939191,71.67573029118333,68.93320557725383,6.839138642699877,"       

ey tderr ott

STE a CLASS OF 92
ee ae ae
ple

       
    

ian

   

 
",class
rHwDegptbI4,https://i.ytimg.com/vi/rHwDegptbI4/default.jpg,GB,,,,,,,,,
AumaWl0TNBo,https://i.ytimg.com/vi/AumaWl0TNBo/default.jpg,GB,95.0031712962963,95.02478587962965,91.28438078703704,71.88697051131146,73.66365523171595,77.64344879187747,6.807185775919298," 
",
2Vv-BfVoq4g,https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg,GB,50.475769675925925,41.00870949074074,45.34747106481481,37.78784132817503,33.128907167545684,36.69087724965945,6.762013466437124," 
",
LMCuKltaY3M,https://i.ytimg.com/vi/LMCuKltaY3M/default.jpg,GB,177.6391898148148,177.11090856481482,177.46898148148148,111.66155736151386,111.89917123115616,111.66925156973308,2.6020358625157907," 
",
9t9u_yPEidY,https://i.ytimg.com/vi/9t9u_yPEidY/default.jpg,GB,67.81295717592593,45.8618287037037,37.470625,70.93606103079323,60.64397464717017,48.553288480752656,6.237680004875408," 
",
ONQ-fAp5X64,https://i.ytimg.com/vi/ONQ-fAp5X64/default.jpg,GB,151.5884837962963,86.00751157407407,86.60821180555556,94.16554673262868,68.78481417556169,65.95545610990034,6.743055937806817," 
",
Dlwf5u2BLAg,https://i.ytimg.com/vi/Dlwf5u2BLAg/default.jpg,GB,101.37286458333334,100.2902199074074,106.62829282407408,84.31525913041655,85.64653255451742,89.21543506288377,6.500269376122432," 
",
NVCqz2BDfcQ,https://i.ytimg.com/vi/NVCqz2BDfcQ/default.jpg,GB,44.47424768518518,44.472766203703706,44.48017361111111,51.66630451271649,51.66552954827134,51.66969055193712,5.278926780512906," 
",
MyEqfBkzESU,https://i.ytimg.com/vi/MyEqfBkzESU/default.jpg,GB,112.63386574074076,87.82491319444445,75.92429976851852,99.80248362329492,79.46496220629729,72.52666299167602,6.646170931636898," 
",
b4vTZx_AtHk,https://i.ytimg.com/vi/b4vTZx_AtHk/default.jpg,GB,73.17465277777778,102.03508680555557,123.06442708333331,75.80196355816726,79.81702310581439,99.19012245163526,6.831936223898678," 
",
BsfhHKx6ajA,https://i.ytimg.com/vi/BsfhHKx6ajA/default.jpg,GB,81.25557291666667,63.3827662037037,51.2602488425926,91.5720835312916,74.8333457481657,65.79013963416841,6.557109912827632," 
",
DIU3xPdhCBI,https://i.ytimg.com/vi/DIU3xPdhCBI/default.jpg,GB,85.64225694444444,64.99925925925926,61.93729166666667,84.6660490134685,71.57836606042648,68.13244524777929,6.553070525308716," 
",
pz95u3UVpaM,https://i.ytimg.com/vi/pz95u3UVpaM/default.jpg,GB,31.905949074074076,30.09359375,29.07894675925926,54.25695826488977,51.46176345444489,48.08010321622852,4.179718858997696," 
",
jp9hK-jY6yY,https://i.ytimg.com/vi/jp9hK-jY6yY/default.jpg,GB,135.39568287037036,121.97917824074074,115.13492476851852,97.1265991329568,89.30881190331841,85.7514053856831,6.272999545655648," 
",
gEHCXl4J9Qo,https://i.ytimg.com/vi/gEHCXl4J9Qo/default.jpg,GB,41.794947916666665,23.791498842592592,17.01310185185185,33.901929588161494,21.13636349419823,14.144318634623415,5.517541620665595," 
",
OWvCCu2t6Ts,https://i.ytimg.com/vi/OWvCCu2t6Ts/default.jpg,GB,92.23380787037036,78.32529513888889,82.12171875,87.69104684805015,74.75893503189668,81.35466680348664,6.650701735511231," 
",
6p-QzY5bxJ0,https://i.ytimg.com/vi/6p-QzY5bxJ0/default.jpg,GB,54.41741898148148,54.59087384259259,42.59484375,58.76817417717805,52.46086278257237,44.47004828512544,6.392166458486985," 
",
fiusxyygqGk,https://i.ytimg.com/vi/fiusxyygqGk/default.jpg,GB,123.60376157407408,132.40182291666667,122.3590625,101.68640375223916,99.53598794390608,94.48518180686436,6.464238169819551," 
",
QOksZ8VogRw,https://i.ytimg.com/vi/QOksZ8VogRw/default.jpg,GB,51.95646990740741,50.03097800925926,45.05858796296296,65.94769139971825,62.84591115159721,55.61223234944956,5.228287700488843,"ee
",
