,0,1
0,['Happy'],QfmgAmtGXwo
1,"['Sad', 'Angry']",TPQqpxfm6BI
2,['Neutral'],0gLsukihjVg
3,"['Sad', 'Fear', 'Happy']",mO5vP_iNUMI
4,"['Neutral', 'Happy']",ao7JzzfIqVE
5,['Neutral'],WS7f5xpGYn8
6,"['Happy', 'Sad']",P2z7Jwu5OfQ
7,['Neutral'],E60w-0q8Y0Y
8,['Happy'],h1-AXcb5j18
9,[],szaJ5aW-LUs
10,['Sad'],ydPYNo8o-lI
11,[],LPsRp7uUXUk
12,"['Happy', 'Happy', 'Happy', 'Sad']",RlSzahonkTk
13,"['Fear', 'Sad', 'Happy', 'Sad', 'Angry']",jyTqvjvj8sM
14,"['Happy', 'Fear']",INRXOIgmNUU
15,"['Happy', 'Angry']",M0X3jVSVzao
16,[],Bzu4G8uZs-4
17,"['Sad', 'Angry', 'Sad', 'Fear']",4OiHwMtKwis
18,['Sad'],JRAOdRq-1lw
19,[],EENwBr3Mp2o
20,"['Happy', 'Angry']",GLZZn7lCtcI
21,"['Angry', 'Sad']",FntZKz9fXp8
22,"['Neutral', 'Neutral', 'Neutral', 'Sad']",nuKhpdLgR2U
23,[],T3E6AKDbI2Y
24,['Sad'],iiWm8AxvWtw
25,"['Neutral', 'Angry']",wVy6mbSbbiA
26,['Neutral'],oky9_tJyvpI
27,"['Sad', 'Angry']",XcSMdhfKga4
28,['Happy'],8LPVjHxXvJM
29,['Sad'],ItL6vcUrpUs
30,"['Angry', 'Happy', 'Happy', 'Neutral']",oqvGFqR2h4w
31,['Sad'],hH-wCe5oAv8
32,['Happy'],Ymt4lpzv62g
33,[],8HvwNOSnveE
34,"['Happy', 'Angry']",CYebJBcLZHA
35,['Neutral'],cntsqw7XOF0
36,"['Neutral', 'Fear']",pNpsjMnO7mU
37,"['Happy', 'Neutral']",UTNnhZqTY5c
38,['Fear'],2pVHOaT9CZ4
39,"['Happy', 'Happy']",NgVF0DMX3d4
40,[],G5V0rsKkMDo
41,"['Happy', 'Fear']",ox7RsX1Ee34
42,[],cMD63TwzB1o
43,['Sad'],Q4nc8Ky94IA
44,"['Neutral', 'Sad', 'Happy']",diOhJMLSCNw
45,"['Happy', 'Neutral', 'Sad']",ZvdPvq4dX78
46,[],XdE5Psqh57I
47,"['Neutral', 'Angry']",3ATQvgkXT9E
48,"['Sad', 'Sad', 'Neutral']",tLOl3s0uIM4
49,['Angry'],7keZTcdouoY
50,['Fear'],GRwmtpr79qE
51,"['Neutral', 'Happy', 'Happy']",5QpnRjXtm1A
52,"['Angry', 'Happy', 'Neutral', 'Happy']",AN3vM-T-lm0
53,[],jbeEE0RaEeA
54,"['Sad', 'Happy']",3mUtNE82ZV4
55,"['Sad', 'Happy', 'Happy']",GRkHQ3RCW34
56,[],zwrlJwed2mQ
57,[],Ff7wbSwTuEk
58,['Angry'],LmOPXhFensg
59,"['Neutral', 'Sad']",bi1wcqsFoCs
60,"['Neutral', 'Sad', 'Fear', 'Neutral', 'Sad', 'Happy', 'Happy']",zi_6oaQyckM
61,[],dCROpIx2s0g
62,['Sad'],t6Bi_0q_17Y
63,['Sad'],k_JTFUEp7mw
64,['Neutral'],DD2snaPATbI
65,"['Happy', 'Angry']",0gv90B5DIPo
66,['Sad'],Ei6AtHXJ9dg
67,['Sad'],bwi9BNyKTcU
68,['Angry'],Ku-WC1EaPXI
69,[],bUMWiiOlee4
70,['Happy'],yJqsPBWbtjk
71,['Neutral'],XvondF0gfro
72,[],2dls8iCoQTI
73,['Fear'],c7gO55FhKUQ
74,"['Happy', 'Happy']",2m2HLU5uVwg
75,"['Fear', 'Happy', 'Happy', 'Neutral', 'Angry', 'Sad']",leu-cTvMWTA
76,"['Neutral', 'Neutral', 'Neutral']",sm7_baYCIkQ
77,"['Happy', 'Happy', 'Sad', 'Neutral']",csCCdQLqcVY
78,"['Happy', 'Neutral']",sXP6vliZIHI
79,['Sad'],HHauPi8CS4k
80,['Sad'],7cql4KuraEo
81,"['Angry', 'Happy', 'Sad', 'Happy', 'Happy']",XQ0sKCp_NZA
82,"['Sad', 'Sad', 'Neutral', 'Neutral']",OXf9D91wrIQ
83,['Happy'],nranUeNkXpM
84,[],4JGWxG-vE24
85,['Neutral'],maAa7J3iEM8
86,['Neutral'],ryr75N0nki0
87,['Sad'],4Lng7bi50To
88,[],lojZXnH_978
89,[],6eB_iBslIfE
90,"['Happy', 'Fear']",WZEFya56qPw
91,"['Neutral', 'Neutral']",cIQKKzZtWwQ
92,['Neutral'],sn_Sgcxg5PQ
