,0,1
0,"[['person', 0.2844383120536804], ['person', 0.05211333930492401], ['person', 0.03800741955637932], ['broccoli', 0.0368531160056591], ['teddy bear', 0.025453155860304832], ['broccoli', 0.02188386768102646], ['broccoli', 0.021311350166797638], ['broccoli', 0.01981428451836109], ['person', 0.019710425287485123], ['broccoli', 0.017585743218660355], ['broccoli', 0.016943633556365967], ['broccoli', 0.015206425450742245], ['person', 0.01480406615883112], ['person', 0.01168144028633833], ['person', 0.011378363706171513], ['broccoli', 0.01050450000911951], ['teddy bear', 0.010457250289618969], ['person', 0.01039756927639246]]",uRP4nAGMYCY
1,"[['person', 0.8509620428085327], ['person', 0.12095466256141663], ['horse', 0.026933414861559868], ['baseball glove', 0.019657254219055176], ['sports ball', 0.017836332321166992], ['person', 0.011916108429431915], ['bench', 0.010815338231623173], ['person', 0.010699699632823467], ['person', 0.010571589693427086]]",KVit4vSAMsk
2,"[['refrigerator', 0.17050224542617798], ['kite', 0.04947663098573685], ['kite', 0.03689819946885109], ['bus', 0.014567834325134754], ['airplane', 0.011897558346390724], ['airplane', 0.010856212116777897], ['train', 0.010821545496582985], ['microwave', 0.010408982634544373]]",kJzSzGbfc0k
3,"[['tv', 0.3874610662460327], ['person', 0.1587689220905304], ['person', 0.14205330610275269], ['backpack', 0.06183251366019249], ['person', 0.06106969714164734], ['person', 0.05796806886792183], ['person', 0.04799247905611992], ['person', 0.046925269067287445], ['person', 0.043012287467718124], ['person', 0.03189650923013687], ['book', 0.025423819199204445], ['person', 0.025342952460050583], ['handbag', 0.019752593711018562], ['cell phone', 0.01799538917839527], ['person', 0.014927220530807972], ['person', 0.013448752462863922], ['teddy bear', 0.012750211171805859], ['person', 0.012331465259194374], ['tv', 0.01188347302377224]]",C7lQ_jqSqKQ
4,"[['car', 0.17047899961471558], ['dining table', 0.10328645259141922], ['truck', 0.08499114215373993], ['potted plant', 0.06032256409525871], ['bench', 0.022704556584358215], ['bed', 0.021957984194159508], ['potted plant', 0.018645096570253372], ['potted plant', 0.0172549020498991], ['person', 0.017086172476410866], ['vase', 0.015694132074713707], ['cup', 0.015293950214982033], ['car', 0.014089108444750309], ['person', 0.013867015950381756], ['vase', 0.01335328258574009], ['person', 0.012547182850539684], ['bowl', 0.010525721125304699]]",vyqCSzFZyXg
5,"[['person', 0.3837200105190277], ['dog', 0.11658484488725662], ['bear', 0.06126713007688522], ['elephant', 0.04243467003107071], ['tv', 0.0345638208091259], ['cell phone', 0.03450389951467514], ['teddy bear', 0.021566998213529587], ['cow', 0.015495487488806248], ['horse', 0.015296271070837975], ['giraffe', 0.013650846667587757], ['sheep', 0.011025143787264824]]",Csnsq9f_ZkQ
6,"[['person', 0.758788526058197], ['person', 0.7498477697372437]]",N4MtzsregT8
7,"[['person', 0.8314496874809265], ['handbag', 0.020850850269198418], ['bench', 0.01677732914686203], ['car', 0.016411466524004936], ['car', 0.016288500279188156]]",C54cHGCwBdk
8,"[['person', 0.219760000705719], ['baseball bat', 0.07663808763027191], ['apple', 0.016391463577747345], ['person', 0.01628969982266426], ['person', 0.015507527627050877], ['person', 0.014598336070775986], ['tennis racket', 0.01444859616458416], ['toothbrush', 0.012454420328140259]]",iPf_ifCKftc
9,"[['person', 0.9444816708564758], ['scissors', 0.8990282416343689], ['bird', 0.08750725537538528], ['scissors', 0.026677122339606285], ['cake', 0.025547554716467857], ['tennis racket', 0.017110370099544525], ['surfboard', 0.013080061413347721], ['kite', 0.011185932904481888], ['bicycle', 0.01059368159621954]]",MWbQdgjsvJI
10,"[['person', 0.3738115727901459], ['umbrella', 0.035156961530447006], ['cell phone', 0.016300881281495094], ['tv', 0.016260387375950813], ['tv', 0.012347199022769928], ['refrigerator', 0.01056097261607647], ['suitcase', 0.01051261369138956], ['chair', 0.010242667980492115]]",tyjVu_IFKMc
11,"[['person', 0.9001432061195374], ['person', 0.8123079538345337], ['person', 0.724411129951477], ['person', 0.7077540159225464], ['person', 0.3268260955810547], ['person', 0.3251199722290039], ['person', 0.2919866740703583], ['person', 0.24965277314186096], ['person', 0.0518764853477478], ['tv', 0.04577550292015076], ['person', 0.012043199501931667]]",L3ymBk6Vb04
12,"[['hot dog', 0.4410182237625122], ['dining table', 0.34072145819664], ['carrot', 0.21875689923763275], ['sandwich', 0.11560743302106857], ['carrot', 0.0420040488243103], ['hot dog', 0.02917899377644062], ['carrot', 0.013535793870687485], ['knife', 0.012978192418813705], ['hot dog', 0.01164666935801506], ['fork', 0.011228211224079132]]",cUa93K56cc0
13,"[['person', 0.46293580532073975], ['person', 0.4446612000465393], ['sheep', 0.4032018780708313], ['dog', 0.013494545593857765]]",cRTwgPj0qx4
14,"[['kite', 0.902137815952301], ['bird', 0.018542509526014328]]",NHZr6P1csiY
15,"[['person', 0.7202646732330322], ['person', 0.584727942943573], ['person', 0.3768790364265442], ['person', 0.34239494800567627], ['person', 0.25852319598197937], ['person', 0.252041220664978], ['sports ball', 0.2198714017868042], ['person', 0.21659153699874878], ['person', 0.1829911172389984], ['person', 0.1825132966041565], ['tv', 0.18068628013134003], ['person', 0.1728644073009491], ['person', 0.17190009355545044], ['tie', 0.1447402983903885], ['person', 0.12197399139404297], ['skateboard', 0.12029456347227097], ['person', 0.10270199924707413], ['skateboard', 0.09804896265268326], ['person', 0.08173824846744537], ['person', 0.08035684376955032], ['person', 0.07551418989896774], ['person', 0.0661584809422493], ['person', 0.06424611806869507], ['person', 0.06178326904773712], ['person', 0.05856640264391899], ['person', 0.05819687619805336], ['person', 0.05618957057595253], ['person', 0.039391640573740005], ['person', 0.03914683312177658], ['person', 0.033065665513277054], ['person', 0.03040175698697567], ['person', 0.029877446591854095], ['person', 0.029145264998078346], ['person', 0.028938649222254753], ['skateboard', 0.02575964294373989], ['person', 0.02497926354408264], ['person', 0.02415843866765499], ['person', 0.02357715368270874], ['person', 0.021563222631812096], ['person', 0.021144725382328033], ['person', 0.0199552234262228], ['person', 0.01975487358868122], ['frisbee', 0.0194406658411026], ['person', 0.017546357586979866], ['person', 0.01748533919453621], ['person', 0.017448754981160164], ['person', 0.016772890463471413], ['person', 0.015945428982377052], ['person', 0.015556450001895428], ['chair', 0.015149272978305817], ['person', 0.014636780135333538], ['person', 0.013698959723114967], ['person', 0.013201417401432991], ['person', 0.012543603777885437], ['person', 0.01213859487324953], ['person', 0.012063056230545044], ['person', 0.01138513907790184], ['person', 0.010535763576626778]]",JYmejM38vKs
16,"[['cup', 0.24923528730869293], ['bowl', 0.22784723341464996], ['donut', 0.17573979496955872], ['truck', 0.14962801337242126], ['donut', 0.13818851113319397], ['donut', 0.05724302679300308], ['donut', 0.054825570434331894], ['dining table', 0.0534302182495594], ['cake', 0.052250683307647705], ['donut', 0.046389348804950714], ['carrot', 0.03938154876232147], ['cake', 0.03930729627609253], ['donut', 0.03608271852135658], ['donut', 0.032560721039772034], ['oven', 0.030707798898220062], ['cake', 0.026233628392219543], ['car', 0.020823249593377113], ['cake', 0.018659988418221474], ['bowl', 0.0155775872990489], ['cake', 0.01485536526888609], ['orange', 0.011675270274281502], ['cake', 0.01138861570507288]]",cBVTghAXTMw
17,"[['person', 0.9476951360702515], ['person', 0.728252649307251], ['backpack', 0.023735245689749718], ['bench', 0.012961630709469318], ['handbag', 0.01282543782144785]]",-2aVkGcI7ZA
18,"[['dog', 0.9464986324310303], ['remote', 0.8684883117675781], ['person', 0.847092866897583], ['person', 0.8085365891456604], ['person', 0.7481093406677246], ['person', 0.6715095639228821], ['microwave', 0.16470535099506378], ['person', 0.14990724623203278], ['bottle', 0.06889166682958603], ['sink', 0.03534160926938057], ['bottle', 0.031972888857126236], ['sink', 0.03131392225623131], ['oven', 0.029590332880616188], ['cell phone', 0.02780439332127571], ['bottle', 0.020539559423923492], ['bottle', 0.016681673005223274], ['cell phone', 0.016659770160913467], ['toaster', 0.014355129562318325], ['chair', 0.012981520965695381], ['chair', 0.01260789018124342], ['cat', 0.011007419787347317], ['couch', 0.010613037273287773], ['person', 0.010322147980332375]]",oY9GVZKwBhI
19,"[['person', 0.902904748916626], ['person', 0.3847878873348236], ['backpack', 0.011038534343242645]]",903QDFbbeww
20,"[['person', 0.331897109746933], ['person', 0.03168497234582901], ['person', 0.026493968442082405], ['person', 0.025625186040997505], ['person', 0.024701174348592758], ['tie', 0.01998288743197918], ['tv', 0.016058605164289474], ['person', 0.012306035496294498], ['car', 0.01131061464548111], ['tie', 0.011080176569521427]]",_zCDvOsdL9Q
21,"[['person', 0.9286547899246216], ['person', 0.2809758484363556], ['donut', 0.024700824171304703], ['sandwich', 0.01819554902613163], ['person', 0.014763891696929932], ['hot dog', 0.013628578744828701]]",pZYJGAWc-R0
22,"[['cat', 0.19659332931041718], ['teddy bear', 0.1930650770664215], ['sheep', 0.0804772600531578], ['dog', 0.06703000515699387], ['bird', 0.051055558025836945], ['teddy bear', 0.04361825808882713], ['orange', 0.03987089544534683], ['orange', 0.019116174429655075], ['bear', 0.013982696458697319], ['person', 0.013272807002067566], ['horse', 0.010828865692019463], ['tv', 0.010341818444430828]]",34cHO5_LX9g
23,"[['person', 0.6441821455955505], ['person', 0.25519829988479614]]",XzzQL96yAwE
24,"[['person', 0.9255526661872864], ['person', 0.8626930713653564], ['person', 0.8212584853172302], ['person', 0.7827686071395874], ['chair', 0.7628039121627808], ['chair', 0.5807250738143921], ['dining table', 0.4843130111694336], ['chair', 0.31317374110221863], ['dining table', 0.08474575728178024], ['potted plant', 0.0813540369272232], ['clock', 0.06350643187761307], ['chair', 0.0344705730676651], ['person', 0.02649262733757496], ['teddy bear', 0.022769389674067497], ['wine glass', 0.02092704549431801], ['chair', 0.01980731450021267], ['bottle', 0.016795480623841286], ['cup', 0.01634920947253704], ['dining table', 0.01562477182596922], ['bottle', 0.014564808458089828], ['chair', 0.011648784391582012], ['pizza', 0.011182389222085476], ['wine glass', 0.010476312600076199], ['cake', 0.010445873253047466], ['dining table', 0.01008274219930172]]",ZP57Kn9eAAQ
