,0,1
0,"[['person', 0.5326635837554932], ['bus', 0.3304556906223297], ['truck', 0.25054141879081726], ['person', 0.1825108379125595], ['car', 0.10375247895717621], ['airplane', 0.08474940061569214], ['person', 0.04930195212364197], ['person', 0.029521938413381577], ['person', 0.029165584594011307], ['person', 0.02798161841928959], ['train', 0.01656806282699108], ['person', 0.01619630865752697], ['person', 0.012364670634269714], ['boat', 0.011312302201986313]]",3oXhLdeuxDw
1,"[['person', 0.8451859951019287], ['potted plant', 0.5336194038391113], ['vase', 0.04578466713428497], ['potted plant', 0.03216838836669922], ['tv', 0.02676449902355671], ['potted plant', 0.025490548461675644], ['stop sign', 0.024092013016343117], ['tv', 0.015090839006006718], ['laptop', 0.01365596242249012]]",aVpvVq_yZLM
2,"[['person', 0.9638283252716064], ['person', 0.8716312646865845], ['person', 0.7703507542610168], ['person', 0.7312044501304626], ['bowl', 0.34227001667022705], ['microwave', 0.2812613248825073], ['tv', 0.24834831058979034], ['backpack', 0.14824005961418152], ['banana', 0.13094563782215118], ['person', 0.1179569736123085], ['backpack', 0.0904543548822403], ['dining table', 0.08680333942174911], ['wine glass', 0.0837048590183258], ['handbag', 0.061998918652534485], ['dining table', 0.04554540663957596], ['fork', 0.035141196101903915], ['chair', 0.0338725708425045], ['knife', 0.03232875093817711], ['dining table', 0.03060375154018402], ['dining table', 0.02939612604677677], ['chair', 0.025900823995471], ['backpack', 0.025069300085306168], ['dining table', 0.022566404193639755], ['dining table', 0.0211696345359087], ['dining table', 0.019713060930371284], ['dining table', 0.018252477049827576], ['bottle', 0.017859160900115967], ['person', 0.015961473807692528], ['chair', 0.014412576332688332], ['chair', 0.014250037260353565], ['potted plant', 0.014098726212978363], ['bowl', 0.013106850907206535], ['chair', 0.012361769564449787], ['knife', 0.010880017653107643], ['chair', 0.010428688488900661], ['clock', 0.010019419714808464]]",luZEZgZNFAg
3,"[['person', 0.9536275267601013], ['person', 0.9048641324043274], ['person', 0.7631552219390869], ['bench', 0.7109077572822571], ['person', 0.6896587610244751], ['person', 0.5422895550727844], ['person', 0.18069180846214294], ['person', 0.16277386248111725], ['person', 0.08801167458295822], ['potted plant', 0.07015864551067352], ['potted plant', 0.05353601649403572], ['person', 0.04968913272023201], ['bench', 0.04105592519044876], ['umbrella', 0.04079807177186012], ['person', 0.03793470561504364], ['potted plant', 0.03779437392950058], ['motorcycle', 0.03488727658987045], ['person', 0.03377098962664604], ['potted plant', 0.033179737627506256], ['handbag', 0.03163762018084526], ['potted plant', 0.030905645340681076], ['handbag', 0.027957217767834663], ['person', 0.025950098410248756], ['backpack', 0.022957364097237587], ['potted plant', 0.022417759522795677], ['potted plant', 0.019040821120142937], ['hot dog', 0.016474800184369087], ['person', 0.015642456710338593], ['dining table', 0.01541102584451437], ['person', 0.014422318898141384], ['person', 0.013928486965596676], ['handbag', 0.013567547313869], ['potted plant', 0.013167406432330608], ['potted plant', 0.012726664543151855], ['bicycle', 0.010840682312846184], ['bench', 0.010047786869108677]]",zOgle88sKro
4,"[['chair', 0.29343241453170776], ['mouse', 0.08502579480409622], ['remote', 0.08180214464664459], ['backpack', 0.07017148286104202], ['cup', 0.061687540262937546], ['bowl', 0.043884847313165665], ['dining table', 0.043266091495752335], ['suitcase', 0.03304151073098183], ['bowl', 0.021507419645786285], ['handbag', 0.016043923795223236], ['cell phone', 0.011964069679379463], ['remote', 0.01163412630558014], ['remote', 0.011301064863801003]]",YkLzdHTv3G0
5,"[['stop sign', 0.08727571368217468]]",FZ_jNGKCIWs
6,"[['truck', 0.3764285445213318], ['scissors', 0.1075940877199173], ['stop sign', 0.09945143014192581], ['truck', 0.07361435145139694], ['clock', 0.02313401736319065], ['airplane', 0.01963680423796177], ['truck', 0.012905438430607319]]",G_UHknhNbAQ
7,"[['car', 0.6068556308746338], ['person', 0.1580221951007843], ['person', 0.10851654410362244], ['truck', 0.04170417785644531], ['tie', 0.03708487004041672], ['bus', 0.024829339236021042], ['train', 0.0209333598613739], ['car', 0.012094449251890182], ['airplane', 0.010801270604133606]]",iBy6XRHPODQ
8,"[['person', 0.9254143834114075], ['person', 0.42805302143096924], ['vase', 0.011987213976681232], ['person', 0.010922406800091267]]",dLRZTBtdMUg
9,"[['person', 0.890215277671814], ['person', 0.0531269907951355], ['tennis racket', 0.046186771243810654], ['bottle', 0.033841460943222046], ['bottle', 0.01684924028813839], ['toothbrush', 0.015937358140945435], ['sports ball', 0.01474821288138628], ['cup', 0.01422120537608862], ['person', 0.013212965801358223], ['wine glass', 0.010179540142416954]]",vNya04dlC4I
