,0,1
0,['Happy'],ud4ONGSZHOY
1,"['Happy', 'Sad', 'Happy']",Gs5fBoqejh4
2,"['Happy', 'Happy']",tHyntXj5Vp0
3,"['Sad', 'Angry']",UBznhsLmTHM
4,['Happy'],fr4ZG7h5IRg
5,[],gJoS7hZFRvQ
6,['Sad'],EqiBrmGixPQ
7,"['Neutral', 'Happy']",S2axzbUL36M
8,"['Fear', 'Happy', 'Fear', 'Neutral', 'Fear']",ehby1npFCnk
9,['Sad'],raLAltAN4NM
10,['Sad'],xjFTQSfkXpY
11,[],TksH_vcBxbU
12,['Happy'],NkdCcOu6cZI
13,"['Angry', 'Neutral', 'Neutral']",kczRX0mQ_S8
14,"['Happy', 'Happy']",9oRWdwXlTcg
15,[],CmkuRuqRS44
16,"['Angry', 'Neutral', 'Neutral']",yp3mUWcu26k
17,"['Sad', 'Happy', 'Happy', 'Fear', 'Angry', 'Happy', 'Sad', 'Happy', 'Sad']",NOt3ytc1A9w
18,[],p-xa-3V5KO8
19,[],JtU_MGpEJWM
20,"['Angry', 'Happy']",ktxSihFG1PU
21,['Neutral'],XeJn6TEaYAo
22,[],DUZehZyrZCM
23,[],u1kahmPRLcE
24,"['Happy', 'Sad']",_81Peb7Atc4
25,['Happy'],p-Pw6E40PQ4
26,"['Happy', 'Happy']",ujEfyjoS1T4
27,"['Happy', 'Happy']",9YGQ4kE-cBg
28,[],qwRDz6HFpHQ
29,['Happy'],QmxYONycsnQ
30,"['Happy', 'Sad', 'Sad', 'Sad']",UFXlaeSF7IY
31,['Neutral'],l-wgCPBcPic
32,[],HDORH8A2ksQ
33,"['Neutral', 'Happy', 'Neutral', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy']",JspumPPshJo
34,[],ld_lu25Ckgk
35,"['Sad', 'Happy', 'Neutral', 'Happy']",QiQ-tWvmNsE
36,"['Angry', 'Angry', 'Sad', 'Sad', 'Surprise', 'Sad']",rKFUKLFnRlM
37,['Fear'],tvKjXUtEot0
38,"['Neutral', 'Sad', 'Happy', 'Angry']",sQvjD2-p98U
39,['Fear'],Aq5Dobu-q3w
40,"['Happy', 'Happy']",k8UmX17DXWg
41,['Happy'],NFUfAuqGio8
42,"['Sad', 'Neutral', 'Fear', 'Happy', 'Fear']",0qkBlp7XTXE
43,['Angry'],4Mof7xcZAEQ
44,[],s5ewtbBIW8I
