,0,1
0,"['Angry', 'Neutral', 'Sad']",6BJokXg8eLE
1,['Neutral'],VYhAB8pbiBI
2,"['Surprise', 'Sad', 'Sad']",XbxRYpuJqDU
3,['Happy'],Wjj3wihtYbs
4,"['Happy', 'Sad']",I9aOttdqoOU
5,['Happy'],IYpenpqszoI
6,"['Happy', 'Sad']",BAypsYh4tuo
7,['Angry'],XF4_DvnNeCQ
8,"['Neutral', 'Angry']",6LB4JWRnyrM
9,['Angry'],zC1eBRg2kgo
10,['Happy'],ZaOvpvw1NwA
11,[],LCet4yrfp4o
12,[],0S-PpkIaxys
13,[],_glJtpX9aAM
14,['Sad'],qFrwxDGTo2s
15,[],oeCZqrpWjys
16,"['Sad', 'Fear']",QmGJTtXE2Mo
17,[],57wbnmuvmWU
18,[],QoEpipVAZUc
19,['Fear'],ZNkh1nCozQw
20,"['Happy', 'Happy', 'Happy']",zx0ivLC6wrQ
21,['Sad'],l05CSwpXoBA
22,"['Happy', 'Neutral']",tpzAs_WyWD0
23,['Happy'],uyShBKpgYy4
24,['Happy'],w-sxszFluos
25,"['Angry', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy']",vD7KE9iIIjI
26,"['Sad', 'Sad', 'Neutral', 'Sad', 'Neutral']",BTzQ1eqXAMU
27,"['Happy', 'Neutral', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy']",h2qE41pBx50
28,"['Angry', 'Sad', 'Fear']",njXQLFPkvqc
29,['Sad'],FeDBi87zXRo
30,['Happy'],tTzoOkP8PBA
31,['Happy'],_PLDrwo3pZ8
32,"['Happy', 'Neutral']",hYHAqSm517M
33,"['Neutral', 'Happy', 'Happy', 'Happy']",2jI7zt_CqDo
34,['Happy'],RKWOG-5uTzk
35,"['Surprise', 'Happy', 'Angry']",mumi40-Xkx0
36,['Sad'],rEdSJbARyNs
37,"['Happy', 'Happy', 'Happy']",P6-2mlqNO98
38,[],vBRxUZhHlgw
39,['Happy'],AQVzQ0Vw0l8
40,[],ka9zaVL28OY
41,"['Neutral', 'Sad', 'Happy', 'Sad']",AsY8WqAC3OI
42,"['Happy', 'Neutral', 'Sad', 'Happy']",NB3UrvuiKrk
43,[],l01b5oaWbR0
44,['Neutral'],VznBK_Yv6YI
45,"['Fear', 'Neutral', 'Neutral', 'Sad']",9i_E6Vvav9I
46,['Neutral'],Hv8UhEjL2yA
47,['Angry'],_-Un6D_Yypw
48,['Sad'],0gWeEk2QjdY
49,"['Happy', 'Sad']",pI3MTa752vA
50,"['Neutral', 'Happy']",SFf-FR5E4no
51,"['Sad', 'Sad', 'Sad', 'Angry']",goqO2uwA-f8
52,[],b-5YrNh2r6c
53,"['Neutral', 'Sad']",GhyRzJ64YGM
54,[],92OWHM7MRDE
55,"['Neutral', 'Sad']",a1UWiDa6t5Q
56,"['Happy', 'Neutral', 'Sad']",JjOLGUBqkmg
57,"['Sad', 'Angry', 'Angry']",m6wOh7fWkbw
58,['Happy'],b6S-cVgx-Kc
59,[],oEKNQR0H9vk
60,"['Sad', 'Angry', 'Sad']",tyKZWjpzXtk
61,[],hBCQwmGWtFI
62,"['Happy', 'Sad', 'Happy']",3ueWbC1xK5s
63,"['Happy', 'Happy', 'Sad']",aZla1ttZHaw
64,[],HfTYKgQoAFM
65,[],2ODhGbtW-L4
66,[],O1S6AEGi0nM
67,[],7zu1LKb5pek
68,['Happy'],MTXM7ER4DJc
69,"['Neutral', 'Happy']",ofYTR24Lrr4
70,['Happy'],FS376sohiXc
71,"['Sad', 'Sad']",XH4Hzva9ldU
72,['Angry'],olw-29TiTwg
73,"['Angry', 'Angry', 'Angry', 'Angry', 'Neutral', 'Happy', 'Angry', 'Happy', 'Sad', 'Sad', 'Happy', 'Angry', 'Sad']",bIBPK4spPNM
74,['Sad'],GE1PX2mL1AI
75,"['Neutral', 'Sad', 'Angry', 'Angry', 'Neutral', 'Sad', 'Happy', 'Sad', 'Angry', 'Sad']",XhuWWn6RLL0
76,['Neutral'],WXN046XZsrA
77,['Angry'],EfCOPLDA2wI
78,[],9895kN21huE
79,['Neutral'],C2iHsd_778o
80,['Sad'],_sXXdvogvjU
81,"['Happy', 'Sad']",9HO7KxO3nGc
82,[],qKTD5hwtPF0
83,['Sad'],NeuxneTGRhI
84,['Angry'],44pTpI8irp4
85,['Angry'],eOTwtMtfEfM
86,['Neutral'],7XRmMRAFSQs
87,['Sad'],TD1QbG5Xdp0
88,"['Neutral', 'Neutral']",q_IUB2g7NJw
89,['Happy'],3aC1sy_SZeM
90,['Angry'],0lK0TA8COBw
91,['Angry'],GFv-WNitX0Q
92,['Angry'],k4oqsCXRku8
93,['Happy'],7OA1J3k8Wyk
94,['Happy'],tg003BeZk5U
95,['Neutral'],MbRCV7GrXHM
96,"['Sad', 'Sad']",-ZdDPPqCL4Q
97,['Neutral'],H0ipgUHWgkU
98,['Sad'],5qek9Su7V4U
99,['Sad'],wUUl33dEr_g
100,"['Fear', 'Sad', 'Angry', 'Sad', 'Happy']",4GMcM90UKDo
