,0,1
0,['Happy'],cMSe5LuPrh0
1,"['Neutral', 'Neutral']",nSUqk7B3fy0
2,['Sad'],F4wYow7ubqc
3,['Surprise'],Y6gGbxGb6Nk
4,[],zZX5KP-jOcw
5,"['Happy', 'Neutral', 'Neutral']",3aKwK6pTz78
6,"['Happy', 'Angry']",oyl5OLXhD78
7,[],mwO4Z_IfZgU
8,['Happy'],ozuzI9x78js
9,['Sad'],7pPMg9l6Yik
10,['Happy'],4wJZtiJ8lUI
11,['Neutral'],LmR7XAQSqsg
12,"['Sad', 'Sad']",e6akG3Wsd5U
13,['Angry'],1HH9ijsFrfw
14,"['Neutral', 'Happy']",1Y1Q3LDI5ng
15,['Sad'],dXayfhg4WRs
16,['Happy'],R4CXaZYTm14
17,"['Sad', 'Sad', 'Neutral']",MsmjxbhrdVg
18,['Happy'],IgSpHCyFcxU
19,"['Fear', 'Happy']",O8TgCzV8GN4
20,"['Surprise', 'Neutral', 'Happy']",5PhHAUytFAM
21,['Neutral'],gXRa8VDWREs
22,"['Sad', 'Neutral']",DyCYnqvAYJY
23,"['Neutral', 'Angry']",LvYf7WaD7Fk
24,['Neutral'],918CS5ZYJG0
25,[],BmhkObt_4nw
26,['Angry'],dXhb3lWyHfQ
27,['Happy'],OSBuQ3ApBog
28,"['Happy', 'Angry', 'Angry']",XL7VbjeoeVs
29,['Fear'],Vi81sgZGMfY
30,[],fQvgx4v1QRs
31,['Sad'],QtsEFEpBBvA
32,[],KfnmCUFxZwA
33,[],JSaMQX_psOk
34,[],9fcK19CAjWM
35,[],7y7cAQb21DQ
36,[],0Gv4D3lHIaM
37,[],CgBF6OSqbgU
38,[],lw5OANzXW9I
39,"['Neutral', 'Angry']",hnHpyHJYn7Q
40,[],pAm-756sB0M
41,['Neutral'],MOXCdU90XcM
42,['Sad'],FHtRlpmJliY
43,[],g1z85eT8r-A
44,[],1sj-boDnu20
45,[],qVeidD9_glw
46,"['Neutral', 'Neutral', 'Happy', 'Happy', 'Sad', 'Fear', 'Happy', 'Fear', 'Happy']",X3H-4crGD6k
47,[],76-KTVPm7XA
48,"['Happy', 'Happy', 'Happy']",WhHEQ-W3x5Y
49,['Happy'],eAtypTNHe48
50,[],gFZMIfpMTTc
51,"['Angry', 'Angry']",05tyrZonnmw
52,[],39bmen6eXOs
53,['Neutral'],zzU2fmX47ZY
54,[],t3sd-RN4nm8
55,[],byvE-sQLwFs
56,['Sad'],WgXLvaippU8
57,['Fear'],9KN8YsHYCBM
58,['Happy'],pmJDMRWtR_s
59,[],_04DX5zOydI
60,['Happy'],lciXuSazbMI
61,"['Sad', 'Happy', 'Angry']",AhgX6jWiyeM
62,['Angry'],48wkC8YhSmY
63,['Angry'],E84XiGfjAqY
64,['Happy'],nfRRF0u3ZnY
65,"['Happy', 'Angry', 'Neutral', 'Neutral']",CRYGTI9FPmI
66,['Angry'],RUcn2OhbWb4
67,"['Sad', 'Neutral', 'Neutral', 'Neutral', 'Happy', 'Neutral', 'Neutral', 'Happy', 'Sad', 'Sad', 'Sad', 'Sad']",AkGNqC3LMM0
68,['Sad'],gzftYBJ4xSQ
69,"['Sad', 'Sad']",jBkT5oLtFy4
70,"['Neutral', 'Angry']",FH0NCnqKwmM
71,"['Happy', 'Angry']",r_yQskzyFbM
72,"['Neutral', 'Sad']",XzByC_5nK_4
73,"['Happy', 'Sad', 'Neutral', 'Happy', 'Angry', 'Happy']",4h_lWfrvFHQ
74,"['Happy', 'Happy', 'Neutral', 'Sad']",iD5GMp8ZpP0
75,['Neutral'],r3y5y7M_Yhc
76,[],D9ZrgleyX0g
77,['Angry'],U6z-x6wQy5g
78,[],E5Q8wsHxRP8
79,[],_6VjcVoKqRg
80,['Sad'],N3XXr5-uih8
81,['Happy'],tnWkMqYa5AI
82,['Angry'],oR-eqDs3orM
83,"['Neutral', 'Angry', 'Sad', 'Neutral', 'Neutral', 'Surprise', 'Neutral', 'Angry', 'Sad', 'Angry', 'Neutral', 'Neutral']",f-6oQCUMnHg
84,[],SULWKZU_fdM
85,[],jMiGNrj874o
86,[],7iqQuaKZyeE
87,[],uh51y_s5eNg
88,['Neutral'],URW8-b-n4_0
89,['Neutral'],LRNtg-LYPbM
90,['Neutral'],Ew8LdnyRHsM
91,"['Happy', 'Happy', 'Happy', 'Sad']",QR43TImr0dQ
92,"['Sad', 'Happy', 'Happy']",T3fgGI-HjIw
93,"['Happy', 'Angry', 'Angry', 'Angry', 'Fear', 'Fear']",x7ScgcF0LUw
94,"['Happy', 'Angry']",NNd5sswphgA
95,"['Happy', 'Happy']",Uaw_pXHbscw
96,"['Happy', 'Sad', 'Angry']",lK4eto4en2o
97,"['Angry', 'Happy']",5Jtvv7vQxIA
98,"['Happy', 'Happy']",OCheE89ja0o
99,"['Happy', 'Fear']",ROYA4u7cuR4
100,"['Sad', 'Happy', 'Happy', 'Happy']",H9v69nYekYM
101,"['Happy', 'Angry']",tUE39dfSyj4
102,"['Angry', 'Angry']",pFiOVZGyK3M
103,['Happy'],FHOwt-9Oego
104,['Sad'],V6NoPg3w7Jc
105,"['Angry', 'Neutral']",ELcw5XRr5XE
106,['Angry'],wFHLiIkC1AA
107,['Angry'],g1Ybv8EhlP4
108,['Sad'],vrFLXLU1ayY
109,"['Neutral', 'Fear', 'Angry', 'Neutral', 'Sad']",NTd1ltnRTWg
110,['Happy'],RiLsuA_PuFE
111,[],PMv97Ynipp4
112,['Happy'],bS9eXS6VucU
113,[],D4VkQOaLIb4
114,[],eLN8k0wtTBw
115,[],tNmgXC75jcc
116,[],Nc5dpwcRAws
117,['Sad'],rXEy8r5P_vc
118,[],_nAu9D-8srA
119,['Happy'],uPbzXI22q8k
120,"['Sad', 'Happy']",RqgqBd0ey34
121,['Sad'],U4_T8En077o
122,['Neutral'],nDW00F4zT2Q
123,"['Neutral', 'Angry']",38DXMhqtTsk
124,"['Angry', 'Sad', 'Happy', 'Neutral', 'Happy']",9mJLoBBoR2I
125,"['Neutral', 'Sad']",humud0Oq_eI
126,"['Angry', 'Happy', 'Happy']",Xbk7aKXbyiY
127,"['Happy', 'Neutral', 'Neutral']",bKCq9QIjmpU
128,['Sad'],rcNeiTtCUQk
129,['Happy'],GD2_bkNgX5I
130,[],6-LJLd9xTco
131,[],BU_sKzSbTJk
132,"['Angry', 'Neutral', 'Neutral']",JDOTzmnNI9k
133,['Neutral'],ej6Nezt5zYY
134,[],nxyay4m584Y
135,[],gKZvf-1v-sM
136,[],WwUv5b0D5IU
137,"['Neutral', 'Sad', 'Sad']",b0KiVUdOb4I
138,[],SCgryXcAigU
139,"['Happy', 'Happy']",sgrFOZjWweA
140,['Sad'],sVBa5hNZFHM
141,"['Angry', 'Neutral', 'Happy', 'Neutral']",fh7Pz13jQgw
142,"['Neutral', 'Sad']",ghhuUnLs_Zs
143,['Angry'],XBZqleZAGYs
144,"['Happy', 'Neutral']",An2AekAukBI
145,"['Happy', 'Happy']",wXLZTa7fpMo
146,['Sad'],tyVLoDv_EIQ
147,"['Sad', 'Angry']",xbEj2xTD_g8
148,"['Sad', 'Fear']",-nYpZHycW7M
149,"['Happy', 'Angry']",-OciTMZGidE
150,"['Happy', 'Happy', 'Angry']",z7Qc64iZM3o
151,"['Happy', 'Sad', 'Neutral']",FCxr3dOEdPs
152,"['Fear', 'Happy', 'Sad', 'Sad']",mZ5RlSYfPeM
153,"['Fear', 'Sad']",wVg5u-N5fzI
154,[],ziUTXS7m4Lg
155,"['Neutral', 'Sad']",K1K8s-tQGqY
156,['Angry'],SPYnH7FNhbk
157,['Fear'],fEPuLtFTMJM
158,['Sad'],16pY0EMdr3k
159,[],JDtm_wBRCOI
160,[],fOQ8DaPOu2o
161,[],fZ3c3JCNzIQ
162,[],Um3QzpW9fMM
163,[],i1Zym3v8tL4
164,"['Neutral', 'Sad', 'Angry']",3fjm0WhQdV0
165,[],pKoJCUggBOE
166,[],x5EqXd9LNUc
167,['Sad'],bJiS0PuxJuc
168,"['Angry', 'Sad']",LizGm8VCLQY
169,"['Happy', 'Neutral']",h2ayTlkVTgg
170,"['Angry', 'Happy', 'Angry']",PB2PlZUlZiQ
171,"['Sad', 'Sad', 'Sad']",1nfZ6dvLWwE
172,[],laAvvCsEfl0
173,[],h1vWVphEkrY
174,"['Sad', 'Angry', 'Sad', 'Sad', 'Sad', 'Surprise', 'Sad']",M8paHpiQLC0
175,['Neutral'],16kC-xNNJXM
176,[],b6zN6vKOeTM
177,"['Happy', 'Sad']",pCjY3ZQY8WY
178,"['Neutral', 'Fear']",WA3n70MejJs
179,['Happy'],jT9mQH4zXXE
180,"['Neutral', 'Neutral']",jGTxKKdoBQ4
181,['Fear'],4p27MuRlQao
182,"['Fear', 'Happy', 'Neutral', 'Neutral']",eXLM0RLxWkU
183,['Neutral'],y36jeKfEOtk
184,"['Sad', 'Sad', 'Sad', 'Happy', 'Happy']",jZ8_HW96sb0
185,"['Happy', 'Happy']",fQM9bSKU_Q4
186,[],0-CYcrmGBZU
187,[],zZtqEzzoPsI
188,[],mOFvJVroAJE
189,[],0V6hpd5L9KQ
190,[],jm3e777dEVk
191,[],WqX2_916Qqk
192,[],8kVI621fZug
193,['Neutral'],2bNUyRCx2Yw
194,['Neutral'],CYh_0QYQ-CE
195,"['Neutral', 'Sad', 'Happy', 'Happy', 'Fear', 'Angry', 'Happy', 'Sad', 'Sad']",7zwXrxLTnaA
196,"['Angry', 'Happy']",iKCTK0cB6YU
197,"['Happy', 'Happy']",dBM_zVq-5Go
198,"['Happy', 'Angry']",3gAJD7eAiwU
199,"['Angry', 'Happy', 'Happy']",x0EvVOx-Hqs
200,"['Angry', 'Happy']",8bmCUMzA0JM
201,"['Neutral', 'Angry']",KDxvmfXwN-0
202,"['Happy', 'Angry']",Nq8BLII2YVY
203,"['Happy', 'Sad']",Ok1hF3xz1Pw
204,"['Neutral', 'Happy', 'Happy', 'Sad']",lTFUt4pEN38
205,['Happy'],7nij_Xb7Qgk
206,"['Happy', 'Sad']",q-YSgh0aITo
207,"['Neutral', 'Happy', 'Neutral']",0F0dHM0LES0
208,"['Happy', 'Sad']",uj7aDbxZFWk
209,"['Neutral', 'Happy', 'Happy', 'Fear']",WlZ5bGtTrLI
210,['Angry'],MHDKw3Z1mC8
211,"['Happy', 'Angry', 'Sad', 'Happy', 'Neutral']",rx_liRcE9zc
212,['Neutral'],SkgWXIjBEIU
213,[],9nS1nLyBYRo
214,"['Neutral', 'Neutral']",cqacm4lmsTk
215,['Angry'],FWT1J_vcYQI
216,"['Sad', 'Neutral', 'Happy', 'Sad']",AGI4thBQloY
