,0,1
0,"[['person', 0.9170731902122498], ['person', 0.7083039879798889], ['person', 0.692460298538208], ['person', 0.5510773062705994], ['person', 0.5048020482063293], ['person', 0.4898524582386017], ['person', 0.47141945362091064], ['person', 0.3426409065723419], ['person', 0.18323369324207306], ['person', 0.16446034610271454], ['person', 0.1385040283203125], ['remote', 0.12139758467674255], ['person', 0.11876403540372849], ['person', 0.08609092980623245], ['person', 0.07198169827461243], ['backpack', 0.0629565417766571], ['person', 0.05457913875579834], ['suitcase', 0.04885737597942352], ['person', 0.0339374840259552], ['person', 0.029618853703141212], ['person', 0.027228720486164093], ['person', 0.02703089639544487], ['frisbee', 0.02492254413664341], ['person', 0.022063881158828735], ['tv', 0.020539047196507454], ['person', 0.019995318725705147], ['person', 0.019145522266626358], ['bench', 0.017053982242941856], ['tv', 0.01692880503833294], ['remote', 0.013730539940297604], ['chair', 0.01341117825359106], ['person', 0.013375379145145416], ['remote', 0.013271165080368519], ['remote', 0.012301243841648102], ['remote', 0.012039456516504288], ['person', 0.011752028949558735], ['person', 0.01101324986666441], ['bench', 0.010829689912497997], ['cup', 0.010003073140978813]]",tOpTQ3Fuf9s
1,"[['person', 0.954002857208252], ['person', 0.41216203570365906], ['cell phone', 0.23623725771903992], ['cell phone', 0.12098711729049683], ['person', 0.10184396058320999], ['cell phone', 0.09054809808731079], ['bench', 0.035606663674116135], ['person', 0.03473472222685814], ['backpack', 0.032034724950790405], ['cell phone', 0.030985534191131592], ['backpack', 0.023424189537763596], ['person', 0.0216616690158844], ['person', 0.018965143710374832], ['person', 0.01879306137561798], ['suitcase', 0.01712700165808201], ['chair', 0.016112949699163437], ['person', 0.013033975847065449], ['truck', 0.011340050026774406], ['cell phone', 0.011150244623422623]]",k0DqRstCgj4
2,"[['person', 0.9589637517929077], ['person', 0.8710814118385315], ['person', 0.8401538133621216], ['person', 0.7778655886650085], ['person', 0.6952283978462219], ['person', 0.6643863916397095], ['person', 0.6499043107032776], ['person', 0.6258682012557983], ['person', 0.5818671584129333], ['person', 0.543917715549469], ['person', 0.5327102541923523], ['person', 0.4627021849155426], ['person', 0.4361917972564697], ['tie', 0.41960516571998596], ['tie', 0.3087843954563141], ['tie', 0.28961730003356934], ['person', 0.1602773666381836], ['tie', 0.13291554152965546], ['tie', 0.09307274222373962], ['tie', 0.08761187642812729], ['tie', 0.069658063352108], ['tie', 0.05829942226409912], ['tie', 0.0537615530192852], ['tie', 0.0499657467007637], ['tie', 0.04885034263134003], ['tie', 0.03469318524003029], ['tie', 0.02151200734078884], ['tie', 0.02048945613205433], ['tie', 0.0186955314129591], ['tie', 0.018127763643860817], ['tie', 0.017753345891833305], ['tie', 0.015546530485153198], ['tie', 0.013691644184291363], ['tie', 0.013051013462245464], ['tie', 0.01112393382936716], ['tie', 0.011024524457752705], ['tie', 0.010556492023169994]]",1CYH4F1KCw8
3,"[['person', 0.9621104001998901], ['person', 0.9371582269668579], ['person', 0.8659905791282654], ['person', 0.8277539014816284], ['person', 0.6624810099601746], ['person', 0.605846107006073], ['person', 0.5697040557861328], ['person', 0.3000827133655548], ['cell phone', 0.05209096521139145], ['person', 0.03717608004808426], ['cell phone', 0.029796620830893517], ['person', 0.024590464308857918], ['person', 0.021857677027583122], ['cell phone', 0.02116006426513195], ['cell phone', 0.01976034790277481], ['cell phone', 0.01821604184806347], ['cell phone', 0.017332157120108604], ['cell phone', 0.015465808100998402], ['cell phone', 0.01516816671937704], ['remote', 0.014384913258254528], ['remote', 0.013670654036104679], ['tv', 0.012238495983183384]]",UdjEoGzXxmI
4,"[['person', 0.9145326018333435], ['person', 0.8495780229568481], ['car', 0.8073433637619019], ['person', 0.7937730550765991], ['person', 0.5214620232582092], ['person', 0.5063921809196472], ['person', 0.44607242941856384], ['person', 0.25182923674583435], ['person', 0.04538474977016449], ['person', 0.03784133121371269], ['backpack', 0.03283080831170082], ['car', 0.032377418130636215], ['person', 0.021745797246694565], ['person', 0.020187603309750557], ['person', 0.017652641981840134], ['handbag', 0.015663674101233482], ['truck', 0.01094331219792366]]",cD8SYW8rjaQ
5,"[['person', 0.86141437292099]]",8b2EP0NZtrU
6,"[['stop sign', 0.2509472370147705], ['clock', 0.07175853848457336], ['bird', 0.02549031376838684], ['bird', 0.021288545802235603], ['cake', 0.01251289900392294], ['book', 0.011212260462343693]]",X-L40JAuaGU
7,"[['person', 0.9547618627548218], ['person', 0.9470134973526001], ['person', 0.9367507696151733], ['person', 0.9208230972290039], ['person', 0.9021773934364319], ['person', 0.8654477596282959], ['tv', 0.1528759002685547], ['tv', 0.1417199671268463], ['tv', 0.048977646976709366], ['tv', 0.02624809928238392], ['remote', 0.026037564501166344], ['wine glass', 0.025773029774427414], ['backpack', 0.017026372253894806], ['handbag', 0.016256442293524742], ['remote', 0.010593253187835217], ['remote', 0.010337005369365215], ['remote', 0.010210427455604076]]",1wRW8eh6hGI
8,"[['person', 0.663695752620697], ['person', 0.053283676505088806], ['donut', 0.048371195793151855], ['dog', 0.02702079713344574], ['cat', 0.017596561461687088], ['horse', 0.014685879461467266], ['person', 0.01201308611780405], ['giraffe', 0.01155724748969078], ['banana', 0.0108939278870821], ['person', 0.010728439316153526]]",b0T6N6sevm4
9,"[['person', 0.7359986901283264], ['person', 0.7265806794166565], ['person', 0.5685359239578247], ['pizza', 0.3802814483642578], ['person', 0.2751915454864502], ['person', 0.12444592267274857], ['tennis racket', 0.08144425600767136], ['person', 0.07784736901521683], ['person', 0.02795519307255745], ['donut', 0.012400371953845024], ['cake', 0.011680242605507374], ['chair', 0.011169000528752804], ['person', 0.011046419851481915], ['tennis racket', 0.010939598083496094], ['person', 0.010819826275110245]]",B9r6jrh00CU
