video_id,category_id
hzCeq0-Vd1U,24.0
k9oMv0JzCn8,10.0
aJ9XruZm_Hg,24.0
PUvVjWR3zTQ,10.0
6mDsa-AqNcQ,27.0
Pl_BHQOCFDY,22.0
oxI2lyW31zM,10.0
r81egea0QPo,1.0
0nybdPCuvRI,17.0
W8_T7MMywcs,24.0
UKka73nn1dk,17.0
CofZ7xjGyI8,22.0
OmhvgIgwLeM,10.0
nx1R-eHSkfM,10.0
mebZJFd8_Vw,20.0
wLZIWQnACjc,23.0
TKc65We4Yhs,1.0
vgX5M1eVhyw,26.0
kFiJG9KZJ3s,10.0
khPLWaBioOs,24.0
NWGguhHrzpw,26.0
oQx3h5D9pwg,22.0
SxAp27sFaIM,22.0
BnANUza_uXQ,24.0
4xN-jUfJAyM,10.0
rXfnPGGfSh8,10.0
nzlazAyylw8,1.0
oUingTdSjC4,17.0
KDPG0YEsD5Q,22.0
N9s2YY3g2r0,1.0
_4LsQ_kdLh0,10.0
FofCwLXknq8,10.0
G0XLp2AQxek,22.0
hNsd-m30m2E,24.0
_Jc8hxt6kdU,20.0
nSuregWhlWk,10.0
Oapebl0bADA,10.0
prmQgSpV3fA,10.0
mriYyuDmB58,23.0
5ZoKBdxhXpw,10.0
Wl9NFbqbwEw,22.0
hsh54g9JmC0,10.0
2TQAP-uAN9I,17.0
FJgx-_eGRh0,10.0
15aTCG3as6Q,24.0
KtqVezaUhkA,24.0
LHDHdyB0A5o,1.0
c84hT_DseRg,10.0
ZAO9WjsFcaI,20.0
YypPLpuPJZU,23.0
ntLtNTUCuII,10.0
dyBFAX4SDEc,20.0
6uBuxJXlWrQ,25.0
zhbjf49Lv9o,10.0
TZSVf-yD7N8,24.0
XkVwqEdYlNA,24.0
CSDHM6iuogI,28.0
TOeWI-HClI8,22.0
MVyJZfFH9GI,10.0
TIVvCUWMMAY,20.0
3Z6kYVQC83E,23.0
fiGSDywrX1Y,10.0
I8S7ZH4-wIs,17.0
LFhT6H6pRWg,22.0
3_keXD1yV3E,26.0
bi9NkBZ1qe4,20.0
KP0r5LSbWL4,10.0
Q4FZi6_DUO8,26.0
McenDl9NdYE,20.0
lw_KFCgcvA4,26.0
Swtha2lg-xI,20.0
P9Ijqa_2eu0,10.0
YJ1aeCE6pd4,22.0
aj8mN_7Apcw,1.0
Yp5R84V1bDU,24.0
0lXX3dJUAGY,27.0
NBkC83-vh9A,24.0
MJGkm0UwNRk,24.0
pWqef6cbwzI,22.0
OdJh_Q5XY4U,17.0
i0biqMZrxJ0,24.0
9xPz2SUdYGo,17.0
tpF7R7ou4OY,24.0
h7MBKjAyBU4,17.0
3yt4JsB9psg,25.0
zXHUHx4R9kI,10.0
8Y4eFnLRIzI,10.0
BsQZPKeaKBg,2.0
s0qeYQZ7mEo,25.0
lwzfPL-rJqA,24.0
cL5oCP0VIEI,20.0
g2GbkH12xMg,24.0
ceJcHUoO734,20.0
Ymt4lpzv62g,24.0
RlSzahonkTk,10.0
8HvwNOSnveE,27.0
aP0izmLk-Q8,24.0
hdyD3afxyxc,20.0
dRvKm__GrqU,1.0
KjHan6D3O3g,10.0
sJWu8sMMh0U,10.0
RdMWIgZIPD8,1.0
L9hwGZFPSmw,24.0
INRXOIgmNUU,22.0
EENwBr3Mp2o,17.0
wzKL-bQKcgA,23.0
4cucHc2vef4,10.0
YBT_rfVxY5A,26.0
Ff7wbSwTuEk,23.0
2cosj7UeQoY,10.0
dCROpIx2s0g,23.0
nVy68X3cubA,22.0
cntsqw7XOF0,10.0
Bzu4G8uZs-4,10.0
pNpsjMnO7mU,17.0
YfOHh5mt9SM,24.0
