video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
trZmij-G0JY,wiki,wiki,"[""[[351, 48], [488, 130]]""]"
trb7VW8LaE4,yuumeiart electro,yuumeiart electro,"[""[[398, 49], [456, 61]]"", ""[[10, 242], [106, 285]]""]"
tsT9Vtw1Hgc,welcome pretty odd,welcome pretty odd,"[""[[209, 141], [277, 160]]"", ""[[164, 177], [273, 216]]"", ""[[268, 178], [325, 221]]""]"
tse8Jkv--74,witnesses all are we,witness,"[""[[327, 83], [418, 105]]""]"
ttV-8lI_AZw,ios 12,,[]
ttx8EsBx070,books 5 read to,book read,"[""[[79, 82], [272, 137]]"", ""[[134, 158], [264, 198]]""]"
tu-rU8qF9ns,teaser hd,teaser,"[""[[18, 208], [136, 236]]""]"
tuRJif8m3KE,my hometown tour welgome to welcome nichigan pure,hometown tour welgome welcome nichigan pure,"[""[[207, 70], [476, 174]]"", ""[[254, 129], [446, 227]]"", ""[[237, 204], [288, 226]]"", ""[[300, 236], [353, 254]]"", ""[[350, 250], [454, 274]]"", ""[[299, 261], [347, 283]]""]"
tuY_1qd-reY,onn 5 s300000,onn s300000,"[""[[438, 52], [474, 73]]"", ""[[22, 241], [158, 277]]""]"
tujTxf5Sjwc,star wars,star war,"[""[[181, 241], [332, 283]]"", ""[[181, 277], [333, 316]]""]"
tvKjXUtEot0,when judges performi,judge performi,"[""[[273, 153], [445, 206]]"", ""[[242, 206], [474, 265]]""]"
twf4attYfC0,5320 clearance of makeup,5320 clearance makeup,"[""[[17, 45], [185, 133]]"", ""[[53, 90], [264, 177]]"", ""[[60, 141], [222, 218]]""]"
twmu9ytH4kY,15,,[]
txa5OB0BOdQ,ks,,[]
txbMUk-d8wA,business insider ignition future of media,business insider ignition future medium,"[""[[153, 73], [244, 88]]"", ""[[248, 73], [325, 88]]"", ""[[67, 133], [413, 186]]"", ""[[124, 197], [220, 218]]"", ""[[274, 198], [354, 218]]""]"
tyKZWjpzXtk,sangria vino,sangria vino,"[""[[221, 169], [317, 190]]"", ""[[168, 170], [218, 190]]""]"
tyVLoDv_EIQ,the opposition jordan klepper with,opposition jordan klepper,"[""[[178, 236], [364, 262]]"", ""[[197, 265], [321, 294]]"", ""[[329, 266], [458, 294]]""]"
tzzAif22pbw,merky ch,merky,"[""[[109, 42], [313, 89]]""]"
u0aRVjtjmB4,pychov red blue world record progress ion,pychov red blue world record progress ion,"[""[[40, 59], [443, 191]]"", ""[[144, 201], [229, 233]]"", ""[[260, 201], [372, 232]]"", ""[[77, 258], [217, 288]]"", ""[[245, 258], [414, 290]]"", ""[[87, 287], [315, 321]]"", ""[[320, 289], [400, 316]]""]"
u0o6alqvTDY,ihop customers apologizes to snl,ihop customer apologizes snl,"[""[[289, 101], [404, 148]]"", ""[[380, 184], [458, 205]]"", ""[[281, 185], [361, 205]]"", ""[[9, 222], [109, 302]]""]"
u15FrUiM00w,day in life may,day life may,"[""[[46, 63], [178, 165]]"", ""[[198, 180], [326, 276]]"", ""[[65, 193], [173, 285]]""]"
u1H6M-Fgcgw,onew minho key jaem i want yow woild shinee,onew minho key jaem want yow woild shinee,"[""[[41, 154], [81, 173]]"", ""[[277, 154], [324, 173]]"", ""[[168, 156], [196, 178]]"", ""[[397, 157], [430, 172]]"", ""[[108, 196], [300, 289]]"", ""[[296, 204], [444, 292]]"", ""[[389, 270], [441, 285]]"", ""[[337, 272], [386, 286]]""]"
u3ANGzuvJw0,simple reharms,simple reharms,"[""[[121, 58], [362, 106]]"", ""[[78, 116], [404, 167]]""]"
u4AjlI49loQ,week 14 highlights and one,week highlight one,"[""[[12, 144], [125, 178]]"", ""[[6, 182], [174, 209]]"", ""[[205, 266], [222, 272]]""]"
u4NfNykLozc,lave,lave,"[""[[0, 220], [154, 313]]""]"
u6fJcc0vHAo,xmmonstruok,xmmonstruok,"[""[[165, 238], [288, 284]]""]"
u8_3qFR7htg,gillyshub dare to check tagi you your probably heaven made in says reentocy,gillyshub dare check tagi probably heaven make say reentocy,"[""[[195, 222], [253, 239]]"", ""[[173, 256], [196, 265]]"", ""[[232, 256], [262, 265]]"", ""[[288, 256], [308, 266]]"", ""[[166, 266], [212, 280]]"", ""[[280, 268], [317, 278]]"", ""[[238, 269], [266, 278]]"", ""[[213, 270], [236, 280]]"", ""[[1, 280], [156, 314]]""]"
u8d4xIgLKl8,about everything great baby driver,everything great baby driver,"[""[[19, 59], [209, 102]]"", ""[[224, 61], [340, 94]]"", ""[[219, 126], [407, 199]]"", ""[[222, 206], [472, 281]]""]"
u9El10dpA9I,state champs sill not rnoor,state champ sill rnoor,"[""[[9, 69], [36, 78]]"", ""[[36, 69], [72, 78]]"", ""[[21, 86], [33, 101]]"", ""[[42, 137], [69, 144]]""]"
u9VC-6pziKs,off set netflix crown,set netflix crown,"[""[[-3, 83], [90, 150]]"", ""[[54, 181], [96, 193]]"", ""[[15, 203], [137, 226]]""]"
uAU5nBhcz34,kelly ryan,kelly ryan,"[""[[48, 277], [80, 290]]"", ""[[52, 288], [84, 301]]""]"
uE15jud2UtM,siriusxmi a rapio ski,siriusxmi rapio ski,"[""[[85, 64], [189, 86]]"", ""[[144, 85], [166, 90]]"", ""[[184, 148], [208, 161]]""]"
uE2fZZzgxaA,2000,2000,"[""[[173, 31], [494, 260]]""]"
uFSWOqiWSmA,cream ice cakes donut,cream ice cake donut,"[""[[90, 58], [229, 129]]"", ""[[28, 78], [90, 132]]"", ""[[133, 107], [266, 180]]"", ""[[1, 123], [136, 196]]""]"
uFbeaM0hp_c,one 8,one,"[""[[303, 98], [356, 125]]""]"
uIG0SG5O77w,kinemaster with seven kayne lento cletray anzmusic,kinemaster seven kayne lento cletray anzmusic,"[""[[353, 57], [465, 76]]"", ""[[32, 181], [117, 224]]"", ""[[121, 181], [214, 222]]"", ""[[234, 181], [321, 222]]"", ""[[323, 180], [437, 228]]"", ""[[5, 282], [88, 308]]""]"
uIXi6UI5-X0,13,,[]
uIpZY56noT8,somebody told me voicenotes 49,somebody told voicenotes,"[""[[48, 145], [241, 169]]"", ""[[70, 170], [160, 196]]"", ""[[94, 202], [196, 214]]""]"
uJIZyEUpJMc,gingerbread house buildhoff with yolanda and orhani live streoming,gingerbread house buildhoff yolanda orhani live streoming,"[""[[61, 77], [227, 117]]"", ""[[61, 117], [143, 157]]"", ""[[143, 115], [266, 159]]"", ""[[90, 161], [141, 180]]"", ""[[61, 184], [105, 202]]"", ""[[12, 246], [59, 284]]"", ""[[22, 273], [60, 293]]""]"
uLRiGX3L-kw,vevo,vevo,"[""[[13, 278], [102, 305]]""]"
uLUinh2q2Kg,rec cardi b money bag provates,rec cardi money bag provates,"[""[[20, 56], [40, 64]]"", ""[[325, 116], [408, 133]]"", ""[[289, 160], [394, 182]]"", ""[[402, 160], [465, 182]]"", ""[[320, 210], [440, 245]]""]"
uLr_jm9NmOE,behind the gus,behind,"[""[[20, 242], [226, 297]]""]"
uMixUd1pY3s,the,,[]
uMksQ12ojww,unite i avengers,unite avenger,"[""[[90, 121], [112, 133]]"", ""[[305, 221], [448, 260]]""]"
uN2PMFl_XT8,fenzi dr ben galton glaciologist tinc,fenzi ben galton glaciologist tinc,"[""[[181, 221], [242, 249]]"", ""[[56, 222], [100, 250]]"", ""[[99, 222], [178, 250]]"", ""[[24, 248], [82, 260]]"", ""[[320, 297], [365, 317]]""]"
